DRYMEN (PARK OF DRUMQUHASSLE),,,,,,,,,,,,,,,,,,,,
Grid ref,NS4837986903,Long,-4.43606,Lat,56.0509,Elevation,67,ft,,,,,,,,,,,,
Station no,5375/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.72,6.9,3.5,2.35,1.7,6.1,5.68,6.3,3.47,8.2,6.75,7.12,5.4,3.4
February,,,,,,,4.67,2.77,5.93,1.58,4.12,1.17,5,1.63,8.3,3.75,1.25,5.4,4.6,4.76
March,,,,,,,2,4,3.12,4,3,4.3,3.9,0.95,4.17,2.8,3.8,4.7,2,2.84
April,,,,,,,2.33,0.48,2.19,3.34,1.6,2.08,3.95,3.26,2.73,1.6,7,2.9,5.1,3.13
May,,,,,,,1.92,3.11,1.61,2.07,2.79,3.5,4.13,3.47,5.2,1.8,5.7,1.4,2.36,1.21
June,,,,,,,2.7,6,1.61,1,0.5,1.92,4.25,4.87,3.83,2.4,3.75,5.8,1.34,2.2
July,,,,,,,3.69,3.77,5.2,4.14,3.3,3,2.16,3.5,4.9,3.7,4.3,4.3,3.34,6.41
August,,,,,,,5,2.38,2.19,1.84,4.57,4.85,6.2,2.58,2.53,3.2,0.04,8.4,4.3,6.64
September,,,,,,,2.77,4.5,2.25,3,2.62,6,4.17,4.6,6.25,6.9,5.3,7.9,2.26,9.37
October,,,,,,,3.9,8.7,2.89,5.58,5.1,5.43,8.44,6.7,6.4,0.5,2.7,8.3,6.9,5.17
November,,,,,,,0.8,8.59,7.57,6.5,3.9,0.67,2.86,8.6,0.7,7.2,6.5,3.7,4.41,3.45
December,,,,,,,3.3,3.07,2.37,4.7,3.13,6.84,5.46,7.37,5.5,5.3,2.4,7.4,8.58,2.08
Total,,,,,,,38.8,54.27,40.43,40.1,36.33,45.86,56.2,53.83,53.98,47.35,49.49,67.32,50.59,50.66
,,,,,,,,,,,,,,,,,,,,
1947 JF May Jun estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5375/2,,,,,,,,,,,,,,,,,,,
Midas,13768,,,,,,,,,,,,,,,,,,,
Hyd Stn,664142,,,,,,,,,,,,,,,,,,,
