KIRKHAM (ESPRICK),,,,,,,,,,
Grid ref,SD414317,Long,-2.890727,Lat,53.778317,Elevation,78,ft,,
Station no,3055/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.22,1.72,3.08,2.12,4.47,3.34,3.8,2.9,5.05
February,3.41,1.19,0.77,2.94,2.37,0.4,2.8,5.97,0.38,2.53
March,4.66,2.1,0.71,2.08,1.34,1.03,2.53,1.56,1.53,1.18
April,1.8,3.21,2.51,1.24,1.6,1.56,0.6,1.31,2.61,2
May,2.69,2.65,1.65,2.79,2.34,1.63,2.74,3.89,1.54,2.92
June,0.85,2.93,1.93,3.31,4.59,1.62,2.27,3.77,3.04,1.14
July,1.99,1.67,4.38,4.47,1.35,3.46,4.58,3.09,3.55,4.4
August,3.53,4.63,4.22,5.47,0.92,9.99,4.46,3.85,0.53,5.14
September,3.75,4.44,5.14,6.17,2.79,3.26,5.47,4.31,0.34,4.05
October,2.12,3.31,1.91,9.45,2.35,2.75,5.32,3.08,3.9,3.37
November,7.83,2.24,4.35,5.89,1.75,1.94,1.09,1.61,3.76,9.25
December,8.15,3.88,1.94,4.14,3.7,3.45,3.87,3.4,7.48,3.81
Total,,35.47,31.23,51.03,27.22,35.56,39.07,39.64,31.56,44.84
,,,,,,,,,,
1951 Jan estimated,,,,,,,,,,
CEDA station 1104,,,,,,,,,,
