EASTCHURCH-BARNLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR019721,Long,0.901898,Lat,51.411963,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,320/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.78,2.15,3.41,1.57,2.5,1.88,3.86,1.11,1.56,1.14,1.96,1.84,0.64,1.49,1.87,1.41,0.83,1.43,2.77,3.27,1.1,1.81,1.26,2.5
February,,,,,,,2.79,0.56,0.91,1.29,1.17,0.54,0.81,1.22,0.85,1.69,1.11,1.55,0.58,2.85,3.81,0.89,0.8,1.54,1.43,1.8,2.06,2.12,0.09,1.19
March,,,,,,,2.83,0.55,1.35,2.83,1.64,1.97,0.29,0.23,1,1.22,3.43,0.59,0.83,0.47,1.78,3.25,0.2,1.51,1.19,0.64,0.96,1.4,0.83,1.62
April,,,,,,,2,0.26,1.7,1.05,1.26,0.89,0.93,1.31,0.9,1.4,0.86,1.16,1.01,1.47,1.91,0.74,1.47,0.27,0.19,1.2,0.22,1.81,1.82,0.57
May,,,,,,,3.02,1.8,1.63,1,0.98,2.33,2.2,0.3,1.88,1.96,0.63,1.57,1.39,2.04,2.3,1.11,1.16,1.71,3.99,0.7,1.77,1.5,0.92,2.14
June,,,,,,,2.41,0.37,1.21,0.62,0.54,0.4,1.47,1.11,0.48,2.03,2.37,2.43,0.6,0.94,1.35,1.72,2.84,2.6,2.68,1.36,1.74,4.18,1.12,1.86
July,,,,,,,0.74,0.98,1.61,5.11,2.19,2.72,2.59,2.42,2.72,1.19,1.38,1.01,1.57,2.03,1.85,0.92,2.46,2.43,1,2.58,2.6,1.87,2.38,2.13
August,,,,,,,2.17,2.3,2.35,0.11,3.82,2.12,0.69,1.5,2.16,3.43,0.12,2.85,1.02,1.85,2.52,2.77,1.71,2.91,2.15,4.15,1.08,3.38,1.55,3.3
September,,,,,,,2.25,1.78,0.71,0.72,0.3,2.08,2.15,2.33,0.45,1.22,1.01,1.81,1.47,2.09,3.37,3.33,2.53,1.18,1.41,1.82,2.03,2.84,0.29,2.4
October,,,,,,,3.66,1.88,7.63,2.72,1.36,3.06,2.12,3,1.49,1.27,0.29,0.8,5.24,0.32,0.71,1.55,1.91,1.19,3.05,1.22,1.16,2.67,1.97,5.03
November,,,,,,,1.13,1.68,3.24,4.73,3.42,1.73,1.41,2.81,0.72,2.79,1.22,1.37,2.46,3.97,2.62,4.35,1.15,3.7,0.39,0.75,1.87,1.46,2.94,3.64
December,,,,,,,4.76,2.35,1.03,1.23,1.24,1.65,1.53,1.08,2.89,1.74,2.28,1.83,1.32,1.63,1.35,2.08,0.69,0.8,1.41,1.65,1.65,2.61,3.07,2.28
Total,,,,,,,31.54,16.66,26.78,22.98,20.42,21.37,20.05,18.42,17.1,21.08,16.66,18.81,18.13,21.15,25.44,24.12,17.75,21.27,21.66,21.14,18.24,27.65,18.24,28.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
