"FOULRIDGE UPPER RESERVOIR",,,,,,,,,,,,
Grid ref,SD891414,Long,-2.167245,Lat,53.868693,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.60,2.85,4.15,4.40,3.34,2.08,5.56,2.55,4.67,2.40,,
February,4.01,1.43,1.11,5.38,4.82,2.48,3.09,3.14,3.33,2.91,,
March,0.61,3.12,2.62,6.23,2.70,3.46,4.30,4.52,3.47,2.25,,
April,1.89,2.59,2.40,2.61,3.40,2.86,1.28,1.70,1.74,4.28,,
May,0.98,1.28,2.70,3.27,2.54,0.75,4.39,3.10,3.63,2.18,,
June,2.85,1.68,1.40,2.26,2.19,2.23,1.54,6.51,2.27,2.38,,
July,2.44,1.51,3.15,3.83,1.56,1.84,1.88,2.47,4.84,5.26,,
August,5.18,2.98,2.70,6.11,5.05,3.51,5.02,4.72,3.62,2.92,,
September,1.73,0.94,1.10,5.35,0.68,2.57,1.31,1.02,4.63,2.69,,
October,6.65,2.91,4.55,10.67,2.46,3.42,5.50,4.26,1.34,4.49,,
November,3.61,6.27,1.92,3.10,4.51,3.73,4.99,3.18,3.26,1.96,,
December,4.96,5.66,4.05,2.42,3.15,2.00,3.65,5.63,2.61,5.96,,
Total,39.51,33.22,31.85,55.63,36.40,30.93,42.51,42.80,39.41,39.68,,
Calc annual,39.51,33.22,31.85,55.63,36.40,30.93,42.51,42.80,39.41,39.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
