MALVERN WELLS (WHITE LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SO773421,Long,-2.3326312,Lat,52.076791,Elevation,500,ft,,,,,,,,,,,,
Station no,2379/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.97,5.7,3.54,4.07,3.22,5.75,2.21,1.62,2.13,2.02,3.63,1.28,
February,,,,,,,,0.64,1.1,2.89,2.66,0.61,1.71,0.67,1.73,1.57,1.66,1.11,0.98,
March,,,,,,,,0.16,1.58,1.66,2.76,2.97,1.26,0.51,0.69,0.89,6.63,1.2,1.41,
April,,,,,,,,0.13,2.5,2.8,1.42,1.09,1.11,1.37,1.02,2.14,2.44,2.13,2.56,
May,,,,,,,,2,1.07,2.64,2.14,3.84,3.66,0.73,2.52,3.19,2.23,3.1,2.44,
June,,,,,,,,1.24,2.09,0.68,1.94,0.09,1.58,1.81,3.47,2.45,1.84,2.11,0.45,
July,,,,,,,,2.89,4.9,3.29,2.5,1.52,1.39,2.16,2.66,1.71,1.38,1.01,1.42,
August,,,,,,,,3.02,1.86,0.27,3.62,3.67,2,3.11,3.14,5.47,1.38,5.5,2.21,
September,,,,,,,,1.87,0.57,0.92,1.07,1.42,2.06,2.73,1.84,3.77,1.43,3.01,1.85,
October,,,,,,,,2.38,3.19,4.09,2.66,2.42,2.35,4.12,3.04,0.63,0.58,2.74,5.31,
November,,,,,,,,3.08,4.14,6.45,2.95,1.3,1.65,4.15,0.32,4.95,2.08,1.46,3,
December,,,,,,,,3.68,1.7,1.71,1.32,4.17,1.57,1.88,4.44,2.41,2.16,3.83,1.14,
Total,,,,,,,,24.06,30.4,30.94,29.11,26.32,26.09,25.45,26.49,31.31,25.83,30.83,24.05,
,,,,,,,,,,,,,,,,,,,,
1948 Jan mistranscrition from record,,,,,,,,,,,,,,,,,,,,
