"BALERNO, COCKBURN HILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT144641,Long,-3.369229,Lat,55.862453,Elevation,767,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,5.41,4.74,2.05,2.02,2.97,2.99,2.19,5.08,2.32,2.81,3.58,4.43,6.34,2.91,3.05,,,,,,,
February,,,,,,,,,,2,4.77,3.95,2.38,1.97,3.68,3.39,5.97,0.91,4.02,1.86,4.09,0.89,2.69,3.93,,,,,,,
March,,,,,,,,,,6.23,2.11,2.12,3.14,6.26,4.44,2.09,4.5,2.14,0.99,2.86,3.66,3.43,2.25,1.72,,,,,,,
April,,,,,,,,,,3.05,3.93,2.49,0.48,3.07,1.95,2.16,4.33,2.48,0.94,3.51,3.25,0.87,2.25,3.14,,,,,,,
May,,,,,,,,,,2.67,2.07,1.75,1.19,2.11,2.35,1.67,4.86,1.66,2.9,0.69,3.22,1.86,2.03,2.24,,,,,,,
June,,,,,,,,,,2.71,1.51,3.07,4.98,2.09,1.42,2.11,3.17,2.62,1.34,2.25,1.52,0.43,2.08,1.39,,,,,,,
July,,,,,,,,,3.79,4.18,4.64,1.4,2.42,0.67,3.79,5.09,5.57,1.85,3.32,1.23,3.25,2.12,4.31,3.45,,,,,,,
August,,,,,,,,,2.85,2.39,5.34,1.68,5.23,1.17,1.64,3.18,5.75,6.16,2.01,2.07,8.89,5.07,2.12,5.12,,,,,,,
September,,,,,,,,,3.48,2.65,0.88,1.44,4.14,2.38,0.66,2.35,1.71,1.83,5.24,3.27,1.63,2.39,1.71,2.83,,,,,,,
October,,,,,,,,,1.16,6.13,2.93,4.39,3.57,2.77,1.85,2.41,6.41,4.72,4.72,2.91,0.95,4.09,2.11,3.31,,,,,,,
November,,,,,,,,,2.06,1.42,3.56,7.23,2.87,3.35,4.44,1.65,5.34,4.04,2.61,5.71,3.06,1.32,1.98,,,,,,,,
December,,,,,,,,,1.67,4.7,2.88,3.94,5.88,2.69,6.2,6.27,3.93,2.53,3.01,5.93,3.93,5.61,3.82,,,,,,,,
Total,,,,,,,,,,43.54,39.36,35.51,38.3,31.5,35.41,34.56,56.62,33.26,33.91,35.87,41.88,34.42,30.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923 Nov, Dec and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
