"BALERNO, COCKBURN HILL",,,,,,,,,,,,
Grid ref,NT144641,Long,-3.369229,Lat,55.862453,,,,,,,
Station no,RR4533,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,5.41,,
February,,,,,,,,,,2.00,,
March,,,,,,,,,,6.23,,
April,,,,,,,,,,3.05,,
May,,,,,,,,,,2.67,,
June,,,,,,,,,,2.71,,
July,,,,,,,,,3.79,4.18,,
August,,,,,,,,,2.85,2.39,,
September,,,,,,,,,3.48,2.65,,
October,,,,,,,,,1.16,6.13,,
November,,,,,,,,,2.06,1.42,,
December,,,,,,,,,1.67,4.70,,
Total,,,,,,,,,,43.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.01,43.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
