LEATHERHEAD-TYRRELLS-WOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ184556,Long,-0.30354,Lat,51.2872,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,131/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.95,6.15,2.49,2.71,2.83,6.45,1.97,,,2.27,,,,3.84,2.5,1.28,1.56,2.78,4.37,1.82,2.32,2.68,2.84
February,,,,,,,,0.8,1.95,2.22,2.82,0.8,1.96,1.07,,,1.63,,,,7.6,0.88,1.52,2.45,1.89,0.39,3.79,2.06,0.12,2.17
March,,,,,,,,0.45,1.65,4.01,3.9,1.76,0.54,0.11,,,5.95,,,1.34,3.79,2.61,0.46,2.46,1.6,0.71,1.02,1.58,2.39,2.05
April,,,,,,,,0.04,3.46,2.8,2.43,1.93,1.06,2.13,,,2.11,,,2.89,2.72,1.41,2.68,0.72,0.76,1.62,0.38,1.32,2.2,0.75
May,,,,,,,,2.08,2.24,1.63,1.95,3.83,3.35,1,,,1.72,,,1.43,2.42,1.94,1.91,1.91,4,0.18,1.55,2.82,0.84,1.9
June,,,,,,,,0.54,1.61,0.54,2.68,0.27,2.2,2.14,,,2.85,,,1.38,0.99,1.61,1.79,4.22,2.46,2.21,0.9,3.91,0.77,1.63
July,,,,,,,,1.86,3.07,2.27,4.33,2.2,1.65,1.89,,,1.81,,,3.26,2.3,0.84,3.47,2.77,1.43,5.75,3.18,1.72,2.61,2.71
August,,,,,,,,2.87,2.02,0.05,4.18,3.2,1.57,2.51,,,0.53,,,2.94,3.77,3.64,1.56,3.5,1.24,2.79,3.65,2.93,1.67,2.89
September,,,,,,,,2.2,1.65,1.72,0.39,1.92,2.26,2.42,,,1.4,,,2.91,3.06,3.02,3.14,2.27,1.73,2.68,2.29,5.43,0.18,2.89
October,,,,,,,,3.14,6.51,3.6,1.32,3.71,3.79,4.28,,,0.26,,,0.59,1.1,3.33,4.23,2.39,3.58,1.35,1.82,3.08,2.85,6.66
November,,,,,,,,4.75,5.49,8.43,3.43,2.44,1.58,4.66,,,1.1,,,6.38,7.82,3.43,1.5,5.91,1.44,0.9,2.93,1.89,4.01,4.77
December,,,,,,,,4.18,1.83,1.64,1.98,3.3,2.24,2.7,,,3.48,,,2.03,2.9,2.34,0.74,2.22,2.73,4.33,2.48,3.13,4.96,3.14
Total,,,,,,,,25.86,37.63,31.4,32.12,28.19,28.65,26.88,,,25.11,,,,42.31,27.55,24.28,32.38,25.64,27.28,25.81,32.19,25.28,34.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 No return due to illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 No return due to illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 No return due to illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Jan Feb Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS has a Tyrrells Wood station SRC_ID 6525 but it says started in 1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR taken from MIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrrells Wood House was transformed into a golf course before this station started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation matches MIDAS NGR better than NGR on sheet which is further south,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
