BRADFORD HORTON,,,,,,,,,,,,
Grid ref,SE150323,Long,-1.773814,Lat,53.786807,,,,,,,
Station no,3264,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.11,2.18,1.68,2.60,3.61,1.18,5.49,1.55,2.12,2.03,,
February,4.67,1.63,1.68,2.68,4.59,1.69,2.88,2.54,2.43,0.90,,
March,0.66,2.90,1.38,4.02,2.45,3.21,2.40,3.33,3.63,3.79,,
April,0.99,2.46,1.91,1.63,1.98,2.45,0.93,2.09,2.37,3.44,,
May,1.16,1.50,2.81,4.25,2.98,0.73,3.01,3.47,1.99,2.53,,
June,2.88,0.72,2.15,1.39,1.60,2.89,2.47,4.89,1.11,2.58,,
July,3.55,1.84,2.52,4.51,3.15,1.29,2.35,2.60,3.33,3.48,,
August,6.37,2.07,3.46,3.74,3.91,5.03,2.87,2.03,2.31,2.83,,
September,0.64,1.31,1.65,4.77,0.58,1.74,0.67,0.92,2.72,3.24,,
October,4.20,1.93,3.46,11.37,0.72,2.88,6.43,5.45,1.93,3.00,,
November,4.07,4.77,2.41,2.19,2.93,4.75,3.96,3.50,1.81,1.10,,
December,4.31,5.51,2.91,2.06,2.42,0.72,3.42,4.16,2.22,5.40,,
Total,37.61,28.82,28.02,45.21,30.92,28.56,36.88,36.53,27.97,34.32,,
Calc annual,37.61,28.82,28.02,45.21,30.92,28.56,36.88,36.53,27.97,34.32,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
