DEANHEAD,,,,,,,,,,,,
Grid ref,SE040149,Long,-1.940988,Lat,53.630613,,,,,,,
Station no,RR7672,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.32,0.00,4.02,,,,,,,,,
February,5.50,0.10,0.70,,,,,,,,,
March,0.96,1.50,1.45,,,,,,,,,
April,3.73,0.80,2.12,,,,,,,,,
May,2.04,1.10,3.12,,,,,,,,,
June,3.23,1.40,2.30,,,,,,,,,
July,2.32,2.22,2.92,,,,,,,,,
August,5.81,1.26,2.32,,,,,,,,,
September,1.32,0.20,2.23,,,,,,,,,
October,3.76,3.42,4.94,,,,,,,,,
November,1.53,3.55,2.00,,,,,,,,,
December,6.53,0.60,,,,,,,,,,
Total,44.05,16.15,,,,,,,,,,
Calc annual,44.05,16.15,28.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
