BRIDGE OF DON (BRAEHEAD),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ938098,Long,-2.104188,Lat,57.178984,Elevation,114,ft,,,,,,,,,,,,
Station no,5645/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.35,3.69,1.54,1.84,3.58,1.83,0.82,0.79,0.79,3.42,2.36,3.39,1.93,3.39
February,,,,,,,1.06,0.95,1.04,3.05,3.01,1.05,0.98,2.18,2.37,1.78,2.38,2.83,0.18,3.25
March,,,,,,,4.15,0.65,2.7,2.71,2.67,3.63,0.09,1.66,1.54,1.41,2.29,3.77,1.11,1.03
April,,,,,,,1.79,1.5,0.81,1.17,2.29,1.24,2.54,1.56,0.74,1.49,1.17,1.34,2.63,1.42
May,,,,,,,2.94,2.68,1.53,1.28,1.44,2.25,2.08,3.04,2.95,0.53,1.3,2.87,1.61,0.68
June,,,,,,2.35,1.23,4.24,1.78,2.04,1.96,3.1,2.39,2.33,1.4,1.31,2.28,1.85,1.55,1.76
July,,,,,,4.17,1.41,2.76,2.21,3.91,4.96,1.87,3.87,2.71,0.98,5.37,8.88,5.62,1.35,3.88
August,,,,,,3.1,0,3.82,4.35,2.36,4.13,3.16,2.71,2.45,0.24,3.74,3.77,3.87,0.53,3.42
September,,,,,,3.89,1.79,2.1,2.24,6.16,1.22,2.08,4.5,1.58,2.07,4.89,3.12,2.02,0.54,2.29
October,,,,,,0.57,2.15,3.02,3.23,1.72,0.71,2.16,1.54,4.13,4.12,2.87,1.35,1.62,3.26,6.94
November,,,,,,6.1,2.63,0.91,4.31,2.83,7.36,3.02,2.29,4.8,2.33,1.51,1.24,0.56,3.57,4.55
December,,,,,,2.97,2.33,3.39,1.3,2.03,1.95,2.07,2.52,2.93,4.45,3.61,3.5,4.24,3.57,1.99
Total,,,,,,,25.83,29.71,27.04,31.1,35.28,27.46,26.33,30.16,23.98,31.93,33.64,33.98,21.83,34.6
,,,,,,,,,,,,,,,,,,,,
1959 NP Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5645/5,,,,,,,,,,,,,,,,,,,
Midas,14928,,,,,,,,,,,,,,,,,,,
Hyd Stn,841639,,,,,,,,,,,,,,,,,,,
