WEM-SANSAW-HALL-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ509231,Long,-2.7297483,Lat,52.803208,Elevation,300,ft.,,,,,,,,,,,,,
Station no,2307,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.72,3.2,1.82,2.08,2.3,2.76,2.34,5.11,1.59,5.31,1.86,2.59,1.61,2.96,1.41,4.27,2.12,2.68,4.64,1.77
February,,0.45,3.32,3.96,0.36,4.32,2.02,1.9,2.31,0.62,0.7,2.59,0.15,2.56,0.31,3.04,1.86,4.09,0.66,1.61,2.79
March,,1.35,2.44,1.67,1.96,1.03,0.75,2.45,2.19,0.53,3.38,0.56,2.62,2.46,1.97,1.08,1.87,1.94,0.53,1.73,2.66
April,,1.28,2.14,2.26,2.65,1.26,1.7,2.4,1.6,0.99,3.37,4.09,3.95,1.06,2.84,3.07,1.84,2.01,0.2,2.27,3.24
May,,1.19,1.2,2.89,5.72,2.95,3.85,1.55,0.88,2.21,2.41,4.88,4.43,1.51,1.37,1.01,0.92,1.76,1.98,1.06,2.14
June,,0.22,0.79,0.52,3.22,0.02,1.75,4.39,3.91,2.04,1.26,4.08,0.67,1.61,1.32,3.08,3.09,2.23,1.83,1.39,1.99
July,,0.62,3.43,2.37,4.49,3.33,2.62,2.31,1.7,2.13,4.01,3.38,3.61,3.23,1.55,1.06,3.36,1.95,1.75,6.57,3.54
August,,4.19,2.67,2.89,3.46,5.1,2.95,4.98,3.44,2.56,2.9,5.8,1.92,1.02,3,1.24,0.8,1.7,4.09,1.55,0.25
September,,0.79,2.53,1.99,3.59,3.23,2.19,3.87,1.63,1,3.64,3.04,2.3,1.24,1.88,4.43,3.25,1.68,1.24,0.7,1.91
October,,2.38,0.5,3.77,4.42,3.05,2.2,2.67,3.95,3.83,4.83,1.2,4.4,4.52,3.84,4.29,1.63,3.26,3.76,3.02,3.96
November,,2.53,0.97,1.98,1.63,1.67,4.87,3.7,4.05,5.61,3.51,4.86,2.15,1.49,2.06,5.1,2.94,1.65,3.65,4.13,7.18
December,,2.57,3.72,3.39,3.19,2.89,0.93,2.16,2.48,5.53,3.94,1.71,1.44,0.82,4.91,3.2,2.39,2.02,2.64,2.15,1.47
Total,,20.29,26.91,29.51,36.77,31.15,28.59,34.72,33.25,28.64,39.26,38.05,30.23,23.13,28.01,32.01,28.22,26.41,25.01,30.82,32.9
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
NGR is Sansaw Hall. The altitude matches. There are large gardens so NGR could be +/- 500 yards,,,,,,,,,,,,,,,,,,,,,
1929 annual total in record has been changed to match the sum of monthly readings,,,,,,,,,,,,,,,,,,,,,
