WEM-SANSAW-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ509231,Long,-2.7297483,Lat,52.803208,Elevation,314,ft.,,,,,,,,,,,,
Station no,RR2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4.36,2.4,1.51,3.06,1.93,3.37,1.76,0.77,0.89,0.5,2.67,3.36,2.86,1.85,3.05,,,
February,,,2.56,1.01,1.77,1.39,2.2,2.03,0.92,2.18,2.29,3.37,1.83,1.92,2.02,2.37,0.73,,,
March,,,2.14,3.41,1.14,0.6,2.16,1.46,1.35,1.62,0.95,1.81,1.59,1.02,1.84,0.99,2.35,,,
April,,,3.1,0.59,0.79,0.62,2.67,2.92,1.86,3.47,1.63,0.91,2.33,0.88,1.16,2.15,0.84,,,
May,,1.08,2.77,2.47,1.9,1.57,0.62,2.48,4.88,1.88,1.15,2.4,1.68,1.73,0.83,2.28,,,,
June,,2.69,5.82,1.63,0.34,2.5,1.89,1.55,3.35,5.69,4.17,2.29,3.38,2.29,2.29,4.1,,,,
July,,3.71,4.77,2.6,1.39,6.74,2.29,3.39,1.78,3.82,7.84,1.97,3.95,1.97,2.68,0.67,,,,
August,,1.36,3.02,2.88,2.83,2.45,2.73,5.09,5.34,6.2,1.34,3.32,2.25,1.51,1.95,2.11,,,,
September,,4.65,4.4,1.6,3.56,3.59,5.2,2.78,2.74,3.21,1.75,1.42,2.01,5.45,1.44,3.06,,,,
October,,3.95,5.97,2.92,2.45,4.66,2.76,2.71,5.06,1.29,5.62,2.29,4.32,2.77,1.02,5.04,,,,
November,,0.86,3.31,1.3,3.36,2.91,4.22,2.73,5.89,1.1,2.81,2.87,3.88,3.36,1.7,3.24,,,,
December,,1.12,3.68,0.66,2.18,0.95,4.08,1.93,1.54,1.02,3.7,2.38,3.27,1,1.6,0.52,,,,
Total,,,45.9,23.47,23.22,31.04,32.75,32.44,36.47,32.25,34.14,25.53,33.16,27.26,21.39,28.38,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Sansaw Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
"May to Dec readings for 1886 were estimated, hence removed",,,,,,,,,,,,,,,,,,,,
