STANTON-LACY-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO495787,Long,-2.7437191,Lat,52.403966,Elevation,303,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.39,3.66,2.22,3.96,3.29,4.48,1.68,6.11,2.18,3.68,1.9,3.18,0.78,4.35,3.8,3.5,5.7,3.46,3.48,3.44,5.94,2.31,,,,,,
February,,,,6.82,0.42,3.47,2.47,2.83,2.26,0.76,0.86,2.37,0.15,3.85,0.27,2.87,2.48,4.36,0.55,1.51,3.34,3.07,0.58,1.89,1.41,,,,,,
March,,,,1.66,1.09,0.86,0.41,2.81,2.39,0.14,2.69,0.43,2.11,2.42,2.06,0.93,2.62,2.59,0.19,1.45,1.57,3.21,2.47,0.81,0.49,,,,,,
April,,,,2.35,3.04,2.49,2.1,1.98,1.42,0.79,3.07,3.65,3.86,0.8,2.52,4.75,2.26,1.8,0.17,2.15,2.64,1.1,1.96,1.19,1.48,,,,,,
May,,,,1.38,7.32,3.47,2.77,1.18,1.17,2.55,3.03,4.75,5,1.3,1.38,0.84,0.76,2.2,1.62,1.04,2.44,2.97,4.04,3.1,0.78,,,,,,
June,,,,0.26,2.51,0.11,2.03,3.86,3.39,2.57,1.36,4.88,1.54,2.34,1.22,3.11,3.76,0.54,1.81,0.99,0.9,1.93,0.72,1.62,1.17,,,,,,
July,,,,2.77,4.53,2.67,2.04,3.03,1.24,1.81,3.57,4.36,2.94,1.89,1.32,0.37,4.19,2.55,2.76,4.37,3.46,2.79,1.36,1.64,1.96,,,,,,
August,,,,2.61,3.05,2.9,2.67,4.51,3.06,1.15,3.34,5.14,2.58,1.56,2.43,1.05,0.63,0.75,4.29,2.24,0.17,2.87,2.11,2.05,2.73,,,,,,
September,,,,1.73,3.27,3.4,1.28,3.58,1.77,1.1,3.42,1.61,2.65,0.76,1.9,4.96,2.88,2.63,1.41,0.55,0.95,1.08,1.6,3.62,2.42,,,,,,
October,,,,4.62,4.45,3.86,2.99,2.48,5.24,4.56,2.71,0.74,5.57,4.89,2.1,3.34,1.71,3.92,3.58,3.23,3.57,2.22,1.68,3.62,4.52,,,,,,
November,,,,1.87,2.43,2.01,6.9,4.06,3.81,6.68,3.09,6.18,1.68,0.75,2.02,5.7,3.68,1.5,5.16,5.17,8.05,2.86,0.75,2,3.92,,,,,,
December,,,,2.12,4.68,2.84,0.74,2.6,2.18,6.55,3.94,1.01,1.69,0.46,5.73,3.37,4.54,2.9,3.19,2.29,1.6,1.6,3.52,1.32,2.09,,,,,,
Total,,,,29.58,40.45,30.3,30.36,36.21,32.41,30.34,37.19,37.3,33.45,22.92,26.13,32.07,33.86,29.54,28.23,30.69,32.15,29.18,24.23,28.8,25.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Stanton Lacy Vicarage. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
