"MOORFOOT HILLS BOWBATE old gauge at 1260 foot, 11""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT297484,Long,-3.120777,Lat,55.723892,Elevation,1260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.35,1.8,3.45,4.8,8.5,2.95,,2.55,2.4,2.05,7.6,1.75,3.05,1.95,4.7,,,,2.3,,,,,,,,,,,,,,4.14,5.25,3.25,3.78,4.9,3.95,2.64,4.75,5.07,8.82,4.7,3.17,3.25,4.15,6.15,4.32,9.18,1.35,5.27,3.92,4.57,3.78,4.53,2.2,5.38,6.3,5.62,6.18,2.8,3.58,5.78,4.28,3.7,,,,,,
February,5.5,1.6,2.75,4.75,4.95,3.7,3.4,1.45,2.6,3.35,2.2,0.95,3.6,4.5,9.65,,,,3.3,,,,,,,,,,,,,,4.08,2.1,4.73,7.2,6.4,2.9,5.9,2.4,4.28,1.42,3.75,6.58,1.72,5.56,4.58,2.18,4.56,1.98,0.97,2.85,0.93,4.1,0.43,3.56,4.57,5.38,1.72,3.06,2.27,5.98,1.56,3.49,2.57,,,,,,
March,2.15,4.15,5.65,3.05,3.75,1.7,3.85,3.7,5.5,4.05,5.5,6.5,2.25,3.3,3.05,,,,2.8,,,,,,,,,,,,,,4.6,6.5,6.1,3.4,10.5,2.8,0.63,3.1,4.85,4.75,2.53,2.52,1.2,4.52,4.06,4.12,5.27,0.68,2.74,0.97,2.81,1.64,4.98,1.71,3.37,4.56,1.94,3.48,3.9,2.94,2.68,1.87,0.72,,,,,,
April,6.1,1.15,5.3,1.66,1.85,4.1,2.4,7.1,2.85,4.65,1.8,3.35,1.55,1.28,2.4,,,,2.96,,,,,,,,,,,,,,1.1,4.35,2.3,2.3,4.52,4,0.47,5.9,4.8,1.08,3.2,4.25,2.5,5.4,2.85,3.55,1.68,2.09,2.18,4.02,4.17,3.06,5.86,3.93,2.32,1.67,0.62,2.03,2.81,2.2,1.9,1.97,1.87,,,,,,
May,2.3,4.05,2.8,1.6,2.45,4.95,5.5,3.1,2.05,1.75,2.2,3.05,3.9,2.25,5.9,,,,2.95,,,,,,,,,,,,,,2.28,4.75,3.7,1.9,5,2.05,3.55,1.3,4.82,2.31,2.7,4.35,5.78,6.9,5.48,3.18,2.12,2.75,1.81,3.38,3.81,2.4,3.59,0.87,1.12,3.59,4.4,1.75,2.44,3.72,3.47,4.93,3.87,,,,,,
June,2,2.85,4.5,2.9,1.5,0.97,2.2,0.8,4,2,5.7,0.8,4.4,5.75,3.5,,,,3.48,,,,,,,,,,,,,,6.95,2.1,2.68,1.5,3.3,2.8,1.18,2.8,1.6,0.96,2.38,1.75,2.85,0.9,5.93,3.91,5.45,3.25,2.85,5.97,1.5,2.26,3,2.98,2.36,2.21,5.48,2.88,2.12,1.48,1.46,2.9,3.25,,,,,,
July,3.65,4.85,5.65,5,6.8,1.6,4.2,3.2,5.7,4.45,5.15,5.1,2.4,3,2.6,,,,2.02,,,,,,,,,,,,,,2.3,0.73,3.78,8.2,5.95,2.3,4.95,1.55,5.22,3.26,5.27,5.5,6.4,2.03,4.65,3.67,2.93,5.75,3.31,4.54,4.2,5.92,3.31,2.5,5.42,7.03,3.96,4.1,8.7,3.6,4.02,3.49,2.5,,,,,,
August,1.25,7.05,3.3,4.3,3,3.35,2.2,2.5,2.9,6.9,6.75,8.05,4.85,3.7,6,,,,4.07,,,,,,,,,,,,,,6.72,2.2,3.2,3.25,3.95,7.5,2.7,3.55,6.42,8.5,2.98,7.3,5.38,4.56,4.03,7.2,5.8,5.92,7.98,5.42,0.89,1.91,4.71,2.87,2.81,3.76,2.5,2.08,1.92,4.62,3.72,6.11,3.7,,,,,,
September,,5.2,3.5,5,3.5,4.3,4.4,5.5,1.35,1.4,3.2,8.5,4.03,2.35,1.25,,,,3.6,,,,,,,,,,,,,,5.25,3.38,1.5,3.05,3.02,3.18,5.7,4.25,2.52,2.18,3.56,4.09,4.92,5.78,4.07,8.76,3.28,0.66,4.58,2.08,4.39,2.02,3.58,4.9,4.01,2.38,3.31,2.91,4.38,2.57,3.57,2.2,6.61,,,,,,
October,5.2,,4.5,5.5,3,5.6,8.5,2.7,1.3,6.45,4.15,3.6,6.1,3.75,3.75,,,,6.65,,,,,,,,,,,,,,5.2,4.25,2.55,2.85,7.93,6.9,5.15,4.4,2.45,6.44,4.07,4.82,4.2,3.02,6.85,5.6,6.09,4.98,5.57,2.92,8.35,3.84,6.1,8.96,4.47,3.56,6.78,5.4,3.82,3.72,5.62,5.23,3.71,,,,,,
