CROWBOROUGH-BEACON-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ510295,Long,0.15268068,Lat,51.045013,Elevation,600,ft,,,,,,,,,,,,
Station no,568,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.84,6.56,2.66,3.73,2.9,6.31,2.79,,,,,,
February,,,,,,,,1.21,1.64,2.94,3.53,0.82,1.9,1.2,,,,,,
March,,,,,,,,0.82,1.75,3.49,3.37,4.1,0.52,0.12,,,,,,
April,,,,,,,,0.29,3.28,1.74,1.6,1.54,2.08,1.68,,,,,,
May,,,,,,,,3.51,1.91,1.94,2.6,3.62,2.63,0.92,,,,,,
June,,,,,,,,1.1,2.43,0.25,2.06,0.19,2.29,1.78,,,,,,
July,,,,,,,,2.54,3.51,3.92,3.2,2.7,2.32,2.6,,,,,,
August,,,,,,,,2.62,2.76,0.1,4.43,4.13,1.71,2.95,,,,,,
September,,,,,,,,2.99,0.54,1.77,0.52,2.82,2.34,2.97,,,,,,
October,,,,,,,,4.78,7.92,4.57,1.87,3.78,3.48,5.38,,,,,,
November,,,,,,,,3.52,7.37,8.22,3.99,2.05,1.86,5.73,,,,,,
December,,,,,,,5.04,4.01,2.15,2.57,2.4,4.06,2.48,2.56,,,,,,
Total,,,,,,,,32.23,41.82,34.17,33.3,32.71,29.92,30.68,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Nov estimated,,,,,,,,,,,,,,,,,,,,
