CROWBOROUGH-BEACON-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ521306,Long,0.16882223,Lat,51.054607,Elevation,650,ft,,,,,,,,,,,,,
Station no,568,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.92,2.79,3.93,2.83,4.34,1.3,6.02,,,,
February,,,,,,,,,,,1.3,2.69,0.64,3.18,0.15,6.22,2.78,6.72,,,
March,,,,,,,,,,,1.53,0.77,1.93,3.64,4.04,0.91,1.75,4.33,,,
April,,,,,,,,,,,2.44,4.26,2.94,1.15,3.92,4.37,2.91,3.42,,,
May,,,,,,,,,,,3.58,3.27,3.26,1.47,0.65,1.71,1,2.79,,,
June,,,,,,,,,,,1.35,2.2,1.56,2.04,2.22,3.25,3.6,2.07,,,
July,,,,,,,,,,,3.66,3.78,3.69,2.63,1.68,1.13,5.48,1.26,,,
August,,,,,,,,,,,4.23,4.12,0.59,1.61,2.99,5.29,1.15,2.42,,,
September,,,,,,,,,,,4.49,3.04,3.48,4,2.34,6.99,4.01,2.6,,,
October,,,,,,,,,,,2.39,0.73,9.3,2.77,2.89,5.1,2.64,4.07,,,
November,,,,,,,,,,,7.79,5.25,2.13,1.37,4.66,9.93,6.59,,,,
December,,,,,,,,,,,3.61,0.98,1.17,0.83,9.97,4.95,4.51,,,,
Total,,,,,,,,,,,41.29,33.88,34.62,27.52,39.85,51.15,42.44,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,
1937 Jan estimated,,,,,,,,,,,,,,,,,,,,,
