STAFFORD-TIPPING-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ923231,Long,-2.1156613,Lat,52.805396,Elevation,258,ft.,,,,,,,,,,,,
Station no,RR2995,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.19,1.82,2.28,1.2,4.1,1.55,1.3,1.45,2.06,0.62,3.82,3.73,,,,,,
February,,,1.22,1.27,3.06,0.75,2.38,1.57,1.5,0.43,2.44,1.65,1.03,0.82,,,,,,
March,,,1.56,3.99,1.46,2.93,1.77,1.38,2.78,2.76,0.55,1.47,3.5,4.13,,,,,,
April,,,1.59,1.67,1.87,1.99,1.66,1.82,2.61,2.14,2.1,0.88,0.21,3.02,,,,,,
May,,,2.34,2.28,2.3,0.48,2.57,4.22,3.41,1.61,2.48,0.56,2.22,1.67,,,,,,
June,,,2.3,1.14,0.47,2.56,1.49,2.77,2.24,3.14,1.75,2.52,5.18,1.35,,,,,,
July,,,1.63,1.85,1.72,1.65,0.7,2.77,2.88,3.38,3.16,0.4,3.1,1.17,,,,,,
August,,,3.91,4.56,3.96,4.18,2.1,2.73,3.58,2.22,3.76,1.67,5.59,2.1,,,,,,
September,,,1.55,3.82,2,1.02,1.64,0.91,2.08,3.19,0.35,1.7,1.39,2.21,,,,,,
October,,,2.39,5.04,0.94,1.45,4.8,3.89,2.14,4.15,2.45,1.77,2.43,3.51,,,,,,
November,,,1.8,2.4,1.78,2.87,2.9,2.43,1.87,0.95,5.3,2.68,2.8,2.1,,,,,,
December,,,1.97,1.92,2,0.63,3.15,2.61,2.38,4.86,4.94,4.36,2.55,1.48,,,,,,
Total,,,23.45,31.76,23.84,21.71,29.26,28.65,28.77,30.28,31.34,20.28,33.82,27.29,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is mid -point of Tipping Street which is 180 m long. Altitudes match. Gauge moved 1.9km S to Rising Brook at the end of 1913. Altitudes match.,,,,,,,,,,,,,,,,,,,,
