BROMSGROVE TARDEBIGGE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO996693,Long,-2.0063,Lat,52.3219,Elevation,433,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2406/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.4,3.85,1.42,2.86,0.78,0.73,2.14,3.29,2.51,1.54,3.06,3.58,1,0.78,2.77,1.94,2.03,2.07,1.47,3.39,0.87,2.12,0.77,2.83,3.48,1.18,0.71,1.95,2.36,0.88,3.9,0.72,0.89,1.1,2.38,0.84,4.26,4.3,0.87,3.25,1.01,2.11,2.38,3.89,2.78,2.59,3.25,1.97,2.79,1.8,3.73,3.6,4.64,1.29,4.45,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.12,1.29,1.51,2.78,3.1,4.06,2.68,3.04,1.33,3.01,0.73,0.73,0.73,1.57,0.58,0.06,1.09,2.23,1.97,0.32,0.49,2.91,1.42,2.23,4.01,1.68,1.78,0.91,3.39,0.63,1.52,0.61,1.38,0.66,2.58,1.5,1.69,0.94,1.67,3.93,4.66,0.98,1.57,3.2,0.88,0.19,2.48,5.33,0.64,2.68,2.3,2.69,1.86,0.86,0.47,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.79,2.1,0.95,0.81,1.32,1.85,1.67,0.94,2.43,1.1,2.37,1.58,2.62,2.56,1.41,0.91,0.94,0.41,0.86,2.03,2.37,2.87,0.56,0.73,0.83,1.38,1.57,3.78,1.55,3.47,1.02,0.82,2.53,3.91,0.76,2.16,4.11,4.2,2.51,0.87,3.41,2.35,1.44,4.27,2.76,1.12,2.1,1.85,0.98,0.69,0.74,2.12,2.53,0.17,2.68,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.65,2.99,3.69,2.74,1.43,0.88,4.02,0.8,1.79,2.13,2.07,1.01,1.39,4.27,1.04,2.1,0.9,0.19,1.6,2.47,1.11,1.65,1.63,1.96,1.29,1.95,2.65,1.65,0.97,2.01,1.36,2.12,2.6,2.24,1.96,0.96,0.04,3.33,1.09,1.07,1.32,1.19,2.82,2.07,4.49,1.2,2.67,3.11,3.1,2.14,2.87,1.63,1.76,0.73,3.46,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.68,2.28,7.18,2.61,1.74,1.4,2,1.38,1,2.98,5.18,1.58,0.81,3.4,2.07,3.48,1.75,2,2.46,1.07,0.4,1.41,3.57,1.55,1.93,1.2,3.29,4.27,2.73,0.46,2,3.1,3.11,1.85,1.56,0.81,3.28,2.38,1.55,2.39,2.83,4.54,2.04,1.11,2.1,1.75,1.18,1.32,5.83,3.4,4.69,2.25,0.72,1.86,2.22,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.64,0.97,3.52,6.25,2.46,2.46,4.77,2.97,2.99,3.83,1.56,1.16,2.66,1.41,2.58,1.84,2.25,1.39,2.51,1.65,2.71,3.05,1.35,2.14,2.18,2.21,2.62,2.38,0.57,2.96,2.81,2.72,1.85,4.26,1.75,1.94,5.57,1.24,2.9,2.5,1.59,3.34,1.19,1.39,2.45,0.43,0.74,0.45,2.51,0.29,1.86,3.92,2.74,1.87,1.22,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.77,4.68,0.75,3.39,5.63,2.06,4.26,3.5,3.02,0.27,2.75,1.7,5.65,1.97,2.25,2.54,2,2.36,3.9,3.15,1.62,0.98,1.18,1.6,2.38,1.99,1.33,2.73,3.25,1.18,1.03,2.27,2.94,3.67,2.77,0.32,2.7,1.52,4.31,6.82,2.19,2.06,2.2,2.9,5.14,0.63,4.73,2.63,3.46,3.65,2.02,5.73,1.22,1.7,3.99,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.75,5.51,9.29,6.24,0.52,5.34,2.55,0.87,1.89,1.69,2.14,1.61,2.96,3.59,2.82,4.12,2.98,2.28,2.7,3.68,2.28,4.55,3.04,1.31,3.44,2.24,4.75,3.88,1.89,5.94,1.36,2.83,2.8,1.85,5.23,1.68,7.87,1.39,2.19,2.09,3.3,6.32,1.46,2.45,3.33,4.69,4.62,2.09,3.65,2.71,2.21,4.15,2.3,2.21,3.21,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.07,2.26,3.83,3.37,5.06,2.08,3.58,6.06,1.75,4.56,2.21,1.71,1.13,2.35,1.12,1.58,2.09,1.11,1.71,0.7,4.1,2.11,0.69,3.06,0.66,1.66,1.38,2.84,2.46,1.16,1.25,0.57,1.29,4.31,0.79,1.68,0.7,2.44,1.04,1.06,1.38,1.8,4.97,1.91,2.7,0.95,2.57,2.72,3.45,3.85,0.81,4.57,0.55,1.05,4.5,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.03,2.09,3.4,0.85,4.43,2.55,6.2,2.74,1.03,3.64,3.67,2.1,0.47,2.72,1.35,5.36,2.17,2.3,3.68,3,1.89,1.69,2.97,2.31,3.08,1.36,2.54,6.26,0.86,1.37,4.96,6.1,1.99,3.36,2.29,2.5,2.79,4.32,2.05,3.11,3.59,3.02,1.62,2.94,3.74,1.8,0.28,3.93,4.06,3.94,2.52,1.71,4.89,3.98,2.9,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,4.12,3.38,3.23,1.04,2.16,2.88,3.89,4.69,2.12,3.49,2.1,2.2,4.36,1.19,3.05,2.68,2.1,1.49,3.23,3.37,1.22,1.83,2.61,1.08,2.81,0.94,2.81,1.81,1.31,2.73,2.61,1.95,1.93,0.8,3.96,2.79,1.92,2.8,3,2.55,2.79,1.36,1.96,1.42,0.89,1.98,1.24,1.55,2.33,1.57,5.72,3.79,2.95,8.01,3.2,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
