BROMSGROVE TARDEBIGGE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO989690,Long,-2.01756,Lat,52.319101,Elevation,455,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.41,4.49,1.67,2.08,1.95,2.86,1.08,3.75,3.46,2.73,6.03,3.16,3.25,3.05,4.76,1.89,1.7,2.54,2.03,4.52,1.6,0.7,2.6,2.04,0.73,1.3,2.96,3.48,1.27,2.7,3.41,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.85,0.47,2.45,0.19,3.1,0.44,2.23,2.97,4.45,0.74,1.02,2.88,2.09,0.86,1.08,1.28,2.02,1.63,1.87,1.09,0.64,5.42,2.89,0.52,1.74,2.67,1.53,0.29,2.5,4.49,0.17,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.19,2.7,0.2,1.76,2.4,2.42,0.67,2.17,3.05,0.39,1.55,1.64,2.28,2.31,0.96,0.45,1.02,0.98,6.08,1.18,2.02,1.29,5.2,2.75,1.62,2.55,3.07,1.01,2.33,1.24,1.83,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.76,3.42,3.47,3.13,1.02,2.09,3.8,2.05,2.95,0.12,2.11,2.43,1.68,1.06,0.74,1.9,0.96,3.09,2.03,2.5,2.56,2.25,2.93,2.57,2.69,0.6,1.24,1.2,0.06,0.79,2.91,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.9,2.24,4.13,6.57,1.35,0.89,0.88,0.93,2.29,1.74,0.94,2.66,2.64,3.28,3.34,0.64,2.97,2.74,2.48,2.16,3.24,1.81,3.53,2.95,2.5,2.84,3.45,0.61,1.4,2.64,1.62,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.85,1.21,4.22,1.23,2.24,0.92,3.2,4.58,0.92,1.85,1.85,0.69,2.33,0.34,2.4,1.82,3.31,2.9,1.4,4.53,0.34,2.08,1.11,2,1.99,3.39,2.43,2.26,1.13,3.71,0.92,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.74,3.93,4.23,2.77,1.48,1.12,0.77,6,2.39,3.29,6.46,2.42,2.82,1.17,1.46,3.33,2.01,1.68,3.17,1.69,2.87,3.02,1.12,1.31,3.5,4.01,0.93,3.15,3.81,3.34,1.48,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.23,3.2,5.53,2.1,0.67,2.29,1.55,0.89,0.59,3.97,2.24,0.15,4.06,2.54,1.89,1.19,2.23,5.86,0.92,5.21,1.13,4.01,4.4,5.12,2.88,4.33,0.46,6.41,4.07,3.43,0.94,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.02,4.51,2.86,3,0.91,2.23,4.02,2.97,2.39,2.29,0.74,1.26,0.73,1.08,1.56,3.16,1.52,3.63,1.61,2.7,1.98,3.82,2.12,1.59,2.45,1.59,1.51,3.11,4.32,4.23,0.26,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.95,2.86,0.83,3.46,3.18,1.32,3.67,1.63,2.91,2.49,4.25,4.8,2.2,2.57,2.23,3.77,3.4,0.83,0.52,3,5.7,0.75,0.72,5.49,2.2,3.64,0.93,1.44,1.48,2.13,2.65,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,7.92,3.2,3.4,1.45,0.92,2.16,5.69,2.69,1.5,2.97,3.96,7.09,3.01,1.47,1.9,4.39,0.37,5.63,1.86,1.71,3.12,5.06,8.19,2.88,1.31,5.94,2.6,0.76,2.04,2.5,4.35,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,5.15,3.14,1.03,0.98,0.39,5.5,3.73,2.74,2.33,4.66,1.61,1.69,1.36,3.66,1.27,1.54,3.09,2.79,2.59,4.14,1.71,2.15,2.38,3.32,1.09,2.08,1.4,2.78,2.33,3.29,5.04,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
