BOLTON-LE-MOORS BELMONT ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SD713120,Long,-2.4351901,Lat,53.603769,Elevation,481,ft,,,,,,,,,,,,
Station no,RR6769,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.34,0.76,1.25,4.35,6.96,6.01,3.34,7.12,,,
February,,,,,,,,,,4.41,2.92,7.9,3.17,3.28,3.38,4.35,1.09,,,
March,,,,,,,,,,2.69,3.38,6.23,4.41,1.4,3.46,3.55,3.78,,,
April,,,,,,,,,,2.37,2.25,2.07,6.03,2.38,0.96,1.64,2.22,,,
May,,,,,,,,,,2.63,3.05,5.09,2.99,0.95,2.3,2.49,5.16,,,
June,,,,,,,,,,8.51,3.93,3.14,8.13,4.21,0.78,5.38,2.38,,,
July,,,,,,,,,,8.45,5.32,6.44,6.7,3.76,5.39,2.46,,,,
August,,,,,,,,,,10.63,2.66,7.26,5.81,3.98,2.43,2.12,,,,
September,,,,,,,,,,3.95,6.77,2.62,2.8,7.59,4.6,6.93,,,,
October,,,,,,,,,,4.95,4.7,4.24,4.01,6.36,3.79,7.21,,,,
November,,,,,,,,,,1.6,5.21,5.64,8.07,5.86,2.35,4.51,,,,
December,,,,,,,,,,4.24,7.45,6.44,5.26,5.56,6.01,3.88,,,,
Total,,,,,,,,,,56.77,48.4,58.32,61.73,52.29,41.46,47.86,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, Thomas Mackereth, lived at 229 Belmont Road",,,,,,,,,,,,,,,,,,,,
