INSTOW-(SPRINGFIELD),,,,,,,,,,,,,,,,,,,,,
Grid ref,SS475302,Long,-4.1761,Lat,51.051,Elevation,100,ft,,,,,,,,,,,,,
Station no,RR2173,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,4.27,5.16,3.99,3.2,2.42,3.92,3.37,5.07,5.38,,,
February,,,,,,,,,,3.36,1.52,0.23,4.1,7.44,0.67,6.36,2.17,2.67,,,
March,,,,,,,,,,4.82,3.4,2.34,3.94,1.27,1.86,0.83,0.52,3.33,,,
April,,,,,,,,,,2.4,4.41,0.82,4.65,2.1,2.8,2.51,1.37,1.86,,,
May,,,,,,,,,,0.85,2.36,1.51,1.37,2.04,2.72,3.6,1.21,0.82,,,
June,,,,,,,,,,1.34,2.12,0.15,1.26,0.73,1.63,0,1.52,1.68,,,
July,,,,,,,,,,1.11,4.15,1.85,2.06,3.24,4.25,3.34,2.11,2.34,,,
August,,,,,,,,,,2.14,1.85,2.39,3.66,1.98,4.28,3.34,2.27,4.33,,,
September,,,,,,,,, ,1.85,3.8,2.27,3.18,3.45,4.78,4.18,1.68,8.31,,,
October,,,,,,,,,1.96,1.41,5.02,1.29,1.57,6.79,4.71,3.9,3.06,2.03,,,
November,,,,,,,,,3.69,4.23,2.07,3.16,1.73,4.39,2.87,3.92,7.5,3.16,,,
December,,,,,,,,,5.07,6.55,3.48,2.66,6.12,4.16,5.35,3.53,0.74,2.87,,,
Total,,,,,,,,, ,34.33,39.34,22.66,36.84,40.01,39.84,38.88,29.22,38.78,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1918 Sept 12th Gauge moved 80yrds N from Lewismead,,,,,,,,,,,,,,,,,,,,,
