LOCH ASHIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH637359,Long,-4.269488,Lat,57.393029,Elevation,718,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5706/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.22,5.2,0.91,1.22,2.61,1.89,4.08,2.9,1.74,2.07,2.89,5.03,2.62,2.89,2.19,0.98,2.39,1.75,1.97,2.92,2.7,2.71,3.94
February,,,,,,,,1.52,2.83,1.85,3.41,2.26,3.18,3.14,3.05,3.21,0.35,3.15,2.84,3.11,1.64,1.67,2.14,1.39,3.76,2.19,2.86,2.15,1.42,1.36
March,,,,,,,,2.48,2.66,2.21,1.84,0.93,2.2,1.84,1.52,1.23,1.08,2.07,4.08,1.46,1.75,1.68,0.99,2.84,1.71,1.14,2.95,1.79,1.36,0.7
April,,,,,,,,0.56,1.54,2.31,1.32,1.28,2.4,2.85,1.28,1.2,4.46,2.42,1.73,4.71,5.54,1.01,3.64,2.28,0.89,1.84,0.88,2.03,2.67,1.86
May,,,,,,,,1.94,0.78,1.7,2.83,2.35,3.66,2.8,2.73,1.84,2.52,4.52,2,2.33,0.83,1.39,4.25,3.36,3.08,1.8,1.37,2.48,1.22,0.99
June,,,,,,,,3.79,1.62,0.63,0.58,1.16,2.43,2.92,4.18,3.17,4.26,4.44,0.85,2.36,2.23,2.78,3.22,2.39,1.05,3.5,1.71,1.62,2.58,3.08
July,,,,,,,,5.09,5.8,9.55,3.15,2.58,2.34,1.39,2.45,5.58,2.45,3.79,1.51,1.76,2.17,1.01,3.85,2.59,0.4,7.21,6.59,3.8,3.03,2.96
August,,,,,,,,1.84,2.1,1.7,5.88,3.28,5.06,1.68,3.62,3.58,0.3,7.41,5.31,2.34,5.21,4.29,2.88,2.51,0.55,8.88,7.1,5.03,2.02,9.14
September,,,,,,,,3.34,1.21,1.64,1.18,4.79,2.14,3.61,2.84,4.24,4.13,2.53,2.08,5.42,1.28,2.82,2.13,2.48,2.54,3.98,1.61,2.71,0.79,2.37
October,,,,,,,,5.54,2.24,3.86,3.43,5.03,3.46,3.37,4.2,0.43,1.35,3.71,2.05,3.52,1.69,3.31,0.64,6.1,4.64,3.17,2.16,2.93,3.54,2.45
November,,,,,,,,4.93,3.25,5.16,3.37,1.46,3.35,3.49,0.3,3.3,,2.52,1.49,3.35,3.84,3.2,2.65,2.23,0.81,2.37,2.41,0.79,5.52,1.91
December,,,,,,,,2.43,2.17,3.94,3.51,3.29,1.29,3.25,2.46,1.49,,3.93,7.19,4.03,4.68,2.8,2.93,5.81,5.42,3.79,3.28,2.3,2.06,2.63
Total,,,,,,,,37.68,31.4,35.46,31.72,31.02,33.4,34.42,31.53,31.01,,43.38,36.16,37.01,33.75,28.15,30.3,36.37,26.6,41.84,35.84,30.33,28.92,33.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 SOND Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 ND+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
