LOCH ASHIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NH637359,Long,-4.269488,Lat,57.393029,Elevation,725,ft,,,,,,,,,,,,
Station no,5706/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.13,3.8,1.65,1.88,1.8,1.65,0.45,2.68,1.25,1.41,1.11,,1.86,,,,
February,,,,2.04,1.34,3.56,1.52,2.67,1.5,1.92,0.33,1.4,1.32,2.34,,0.39,,,,
March,,,,1.55,2.08,1.38,0.68,1.05,3.89,1.23,1.64,1.36,0.98,0.41,,4.77,,,,
April,,,,1.07,1.05,1.46,1.28,1,1.4,1.83,1.08,0.32,0.7,1.33,,3.03,,,,
May,,,,1.87,2.08,3.37,4.04,0.91,1.25,0.77,0.87,2.76,1.93,0.49,,1.69,,,,
June,,,,1.32,0.94,1.13,0.96,0.31,1.36,0.16,1.7,0.91,2.15,2.57,,,,,,
July,,,,5.14,3.65,0.72,2.74,1.68,3.8,2.61,2.74,7.2,2.07,2.28,,,,,,
August,,,,4.37,2.14,1.95,1.28,1.65,1.56,4.46,3.95,2.72,3.2,2.89,,,,,,
September,,,,4.08,1.02,3.52,2.64,3.36,0.73,0.9,1.62,1.83,2.61,2.5,,,,,,
October,,,,2.25,2.07,2.17,1.95,2.52,3.71,2.35,2.55,0.93,6.14,3.15,,,,,,
November,,,,2.63,3.04,1.1,2.92,2.58,4.2,2.04,1.87,1.02,1.35,3,,,,,,
December,,,,2.46,3.03,2.82,2.77,2.2,0.54,1.03,0.72,2.13,1.1,2.54,,,,,,
Total,,,,30.91,26.24,24.83,24.66,21.73,25.59,19.75,21.75,23.83,24.96,24.61,,,,,,
,,,,,,,,,,,,,,,,,,,,
Poss gauge move in 1888,,,,,,,,,,,,,,,,,,,,
