GRANGEMOUTH ( PUBLIC PARK ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS930816,Long,-3.717933,Lat,56.015338,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.8,4.21,3.13,2.73,4.25,4.56,3.67,7.74,1.41,3.97,2.18,4.35,3.39,4.24,1.34,4.87,3.16,6.37,3.93,2.05,1.69,4.88,3.77,3.69,2.39,3.94,2.81,6.01,3.23,2.14,4.1,2.48,0.84,3.49,2.61,2.17,5.49,2.82,1.35,2.75
February,,0.46,2.36,3.82,0.68,3.35,3.84,1.82,5.53,1.25,0.79,2.15,0.02,2.42,0.18,3.2,2,3.94,1.08,5.09,0.94,3.27,1.46,2.82,0.85,4.3,2.92,2.2,4,3.15,3.22,2.03,0.78,1.04,2.77,2.95,1.35,3.41,2.77,1.63,3.65
March,,5.03,2.16,1.42,0.87,2.1,2.46,2.24,2.74,0.34,2.54,1.25,2.17,1.28,3.09,1.23,2.08,1.97,1.94,2.23,3.29,2.63,1.81,1.97,0.4,2.17,2.04,3.5,2.78,0.83,2.72,2.16,1.95,0.9,2.19,1.65,1.34,3.04,2.2,1.05,1.8
April,,0.94,2.05,3.21,1.46,3.87,1.68,1.6,0.89,1.5,0.69,1.85,2.54,0.82,2.89,2.54,1.24,1.4,0.42,1.71,2.71,1.16,2.62,1.7,1.83,1.25,0.72,5.17,2.11,,1.89,2,0.93,1.87,1.39,0.82,0.57,1.36,1.23,2.94,1.84
May,,1.4,2.38,,5.38,5.42,2.58,1.54,1.97,2.12,1.26,3.77,2.53,1.87,1.36,0.37,0.92,1.94,4.18,0.96,2.97,4.45,2.09,3.79,2.66,4.66,1.38,3.13,1.76,,1.65,1.79,0.89,1.31,4.08,3.28,1.75,2.42,2.85,0.07,1.01
June,,0.33,1.52,,2.17,0.41,2.25,2.38,4.65,2.2,2.6,5.02,0.83,0.89,1.95,3.53,1.42,1.68,3.59,2.07,0.59,0.66,1.32,3.41,2.37,3.49,2.17,3.65,4.65,,1.42,2.73,2.94,0.85,1.97,1.03,3.18,1.52,4.01,1.06,1.32
July,,3,3.11,,2.61,1.07,4.47,4.35,1.95,2.94,3.95,4.27,2.31,4.3,2.86,1.23,3.86,3.92,2.79,3.88,4.86,4.21,1.89,2.49,2.37,4.13,3.16,2.42,3.85,2.5,3.97,5.13,2.66,4.13,2.07,0.85,4.04,2.85,6.39,3.2,2.35
August,,5.22,1.69,,2.57,2.78,2.27,5.74,3.96,3.75,4.81,3.07,0.61,1.11,3.46,1.7,2.11,4.28,2.14,1.05,1.05,3.1,2.62,4.11,3.15,2.13,3.3,0.02,7.04,3,4.3,3.39,3.25,1.33,4.19,0.89,5.21,4.19,4.25,0.31,3.65
September,,1.88,1.83,,3.79,2.95,3.33,5.61,2.86,0.67,3.06,0.79,3.14,1.09,3.1,4.73,2.86,1.77,3.28,1.53,2.29,0.87,4.77,2.82,3.29,3.67,4.88,3.04,4.02,1.03,6.4,1.36,2.28,4.1,4.11,1.79,3.45,1.88,3.12,0.8,1.26
October,,4.83,1.37,,2.65,2.69,4.98,4.86,4.98,4.16,3.21,2.16,4.27,2.2,3.91,7.31,3.12,3.93,6.7,2.62,3.83,3.46,3.16,5.97,3.46,4.25,0.65,1.48,3.17,4.74,2.39,0.75,2.37,1.09,8.91,1.81,2.54,3.63,2.34,2.17,3.41
