"BAMPTON (OXFORDSHIRE)",,,,,,,,,,,,
Grid ref,SP310028,Long,-1.552614,Lat,51.723070,,,,,,,
Station no,RR4367,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.84,1.15,3.01,3.43,3.41,,
February,,,,,,0.12,2.41,2.47,0.10,1.90,,
March,,,,,,0.25,1.78,0.97,2.60,1.03,,
April,,,,,,1.60,0.26,0.96,2.49,0.53,,
May,,,,,,0.22,1.54,2.17,0.57,1.80,,
June,,,,,,1.70,1.95,3.21,0.54,1.74,,
July,,,,,,1.35,2.94,3.20,1.36,4.30,,
August,,,,,,3.90,2.83,1.88,2.07,2.61,,
September,,,,,,1.82,3.14,2.73,0.22,3.71,,
October,,,,,,2.11,1.96,1.89,1.66,4.37,,
November,,,,,,0.46,2.01,2.63,1.62,3.84,,
December,,,,,,2.69,2.03,3.16,5.02,4.10,,
Total,,,,,,20.06,24.00,28.28,21.68,33.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.06,24.00,28.28,21.68,33.34,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
