"HAYFIELD UPPER HOUSE",,,,,,,,,,,,
Grid ref,SK062878,Long,-1.908246,Lat,53.387007,,,,,,,
Station no,2643/7/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.40,2.58,3.23,2.30,5.36,1.34,2.50,1.62,,
February,,,1.53,2.57,4.37,1.92,2.95,1.68,3.62,2.66,,
March,,,2.55,4.48,2.07,3.75,2.66,2.88,4.08,3.56,,
April,,,2.47,2.44,2.06,2.84,2.02,2.75,3.18,2.67,,
May,,,3.91,2.78,2.85,1.07,4.80,4.24,3.98,2.78,,
June,,,2.30,1.41,1.02,2.69,1.99,6.07,1.95,3.53,,
July,,,2.68,3.54,1.93,2.56,2.35,3.17,4.24,5.68,,
August,,,4.04,4.56,4.98,5.12,4.11,4.80,3.20,3.34,,
September,,,1.64,4.98,1.65,2.77,1.77,0.73,3.55,3.40,,
October,,,5.18,8.30,1.46,3.92,6.03,6.65,1.57,5.25,,
November,,,2.66,4.01,3.15,5.09,4.44,3.42,3.08,1.55,,
December,,,2.99,2.10,2.39,0.74,3.64,3.01,3.26,7.25,,
Total,,,35.35,43.75,31.16,34.77,42.12,40.74,38.21,43.29,,
Calc annual,0.00,0.00,35.35,43.75,31.16,34.77,42.12,40.74,38.21,43.29,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
