THIRSK - REAPER WORKS,,,,,,,,,,
Grid ref,SE426819,Long,-1.348,Lat,54.231,Elevation,120,ft,,
Station no,RR7904,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.27,0.89,,,,2.32,2.83,,,
February,2.52,4.55,,,,1.16,0.58,,,
March,2.05,,,,,1.69,2.05,,,
April,1.74,,,,,1.61,1.63,,,
May,1.65,,,,,1.39,2.58,,,
June,2.36,,,,,2.84,0.61,,,
July,6.68,,,,,0.53,4.34,,,
August,1.67,,,,,2.06,2.14,,,
September,5.27,,,,,3.72,1.39,,,
October,4.52,,,,,3.29,4.16,,,
November,2.69,,,,,1.76,2.52,,,
December,4.42,,,,,0.95,3.70,,,
Total,35.84,,,,,23.32,28.53,,,
,,,,,,,,,,
TYRain_1880-1889_11_pt2/027,,,,,,,,,,
,,,,,,,,,,
# Sited at Bamlett's Agricultural Engineering Works,,,,,,,,,,
