THIRSK - REAPER WORKS,,,,,,,,,,
Grid ref,SE426819,Long,-1.348,Lat,54.231,Elevation,120,ft,,
Station no,RR7904,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.83,,,,,,,,
February,,3.86,,,,,,,,
March,,2.47,,,,,,,,
April,1.74,0.75,,,,,,,,
May,1.51,1.24,,,,,,,,
June,2.20,2.18,,,,,,,,
July,6.48,4.38,,,,,,,,
August,1.69,4.10,,,,,,,,
September,5.20,2.60,,,,,,,,
October,4.44,2.50,,,,,,,,
November,2.40,3.31,,,,,,,,
December,4.00,3.47,,,,,,,,
Total,,31.69,,,,,,,,
,,,,,,,,,,
TYRain_1880-1889_11_pt2/026,,,,,,,,,,
,,,,,,,,,,
# Sited at Bamlett's Agricultural Engineering Works,,,,,,,,,,
