HITCHIN-NEWLANDS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL187278,Long,-0.27480885,Lat,51.936057,Elevation,271,ft,,,,,,,,,,,,,
Station no,974,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.47,2.17,2.79,1.29,2.75,1.45,3.02,2.57,3.31,1.81,2.93,1.4,1.6,1.41,1.69,1.31,,,,,
February,0.45,0.25,2.17,3.37,0.8,3.69,2.82,3.58,1.66,0.65,0.57,1.87,0.29,1.86,0.67,3.22,,,,,
March,1.53,0.96,1.72,2.2,0.73,1.28,0.13,2.28,1.83,0.06,1.71,0.08,1.81,2,1.87,0.57,,,,,
April,3.91,1.28,2.99,2.16,2.73,1.68,3.03,1.76,1.27,1.56,1.91,3.09,2.32,1.22,1.71,3.15,,,,,
May,1.59,1.39,1.31,1.07,5.13,2.1,2.11,0.95,1.44,1.92,2.77,2.62,4.89,1.97,0.73,1.77,,,,,
June,1.62,0.34,1.15,0.64,1.79,0.13,2.97,2.47,1.81,0.91,0.56,1.75,1.05,1.25,1.1,2.98,,,,,
July,3.95,0.27,4.12,3.33,4.26,2.46,3.39,2.57,2.81,1.46,2.85,5.03,2.24,1.03,1.01,0.59,,,,,
August,1.14,0.82,2.32,2.88,2.78,3.07,0.77,2.97,2.53,0.62,2.7,4.04,2.86,0.75,1.88,1.56,,,,,
September,2.27,1.51,2.61,1.72,3.19,2.84,1.89,4.61,0.71,0.15,4.25,2.35,1.93,2.24,1.18,3.6,,,,,
October,1.62,0.86,0.55,4.11,4.06,3.3,2.35,1.73,3.77,4.08,1.15,0.49,4,1.65,1.96,2.78,,,,,
November,1.62,1.93,1.37,1.6,3.32,1.95,4.13,2.91,2.27,5.57,4.36,2.74,1.68,1.47,1.94,4.59,,,,,
December,1.86,1.42,2.53,2.44,3.18,1.68,0.38,2.91,2.59,5.07,2.69,0.82,0.56,0.41,4.39,2.46,,,,,
Total,24.03,13.2,25.63,26.81,34.72,25.63,26.99,31.31,26,23.86,28.45,26.28,25.23,17.26,20.13,28.58,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_07_pt1-page-042 not used as is blank,,,,,,,,,,,,,,,,,,,,,
