"BECCLES, THE STAITH & WAVENEY HOUSE",,,,,,,,,,,,
Grid ref,TM420905,Long,1.560680,Lat,52.458787,,,,,,,
Station no,RR4681,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.72,0.45,0.91,1.67,2.09,1.02,,,,,,
February,3.43,1.59,0.65,0.32,2.59,1.23,,,,,,
March,0.95,2.10,1.26,1.92,1.80,1.53,,,,,,
April,1.26,2.40,1.27,2.37,0.91,1.89,,,,,,
May,1.65,1.19,3.31,2.31,2.17,1.29,,,,,,
June,2.90,2.23,1.85,2.67,0.68,3.30,,,,,,
July,1.74,0.95,2.11,3.86,2.07,0.45,,,,,,
August,3.44,0.95,3.35,4.22,3.05,3.67,,,,,,
September,1.11,1.00,1.22,2.70,1.46,1.95,,,,,,
October,2.11,1.90,1.35,3.84,0.86,3.93,,,,,,
November,1.69,1.86,1.49,1.69,1.93,1.99,,,,,,
December,2.54,4.60,1.52,1.17,2.16,1.26,,,,,,
Total,25.54,21.22,20.29,28.74,21.77,23.51,,,,,,
Calc annual,25.54,21.22,20.29,28.74,21.77,23.51,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
