CHARD-CHAFFCOMBE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST350108,Long,-2.92549,Lat,50.89325,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.93,4.01,5.05,4.54,5.62,1.9,6.65,3.05,3.63,3.72,3.27,0.88,6.26,6.19,4.09,6.37,2.38,5.09,4.33,9.37,1.88,2.8,5.09,3.99,6.6,,
February,,,,,0.63,4.77,2.52,4.87,2.85,1.45,1.16,1.95,0.02,5.74,0.36,4.17,3.62,7.26,1.46,2.38,3.65,4.45,0.32,1.55,0.48,2.99,3.35,2,1.57,,
March,,,,,1.67,0.39,0.56,4.45,3.15,0.2,2.73,1.16,2.93,4.54,3.03,1.3,4.78,6.1,0.17,1.45,2.73,3.64,2.9,1.34,0.3,1.16,1.09,7.86,1.11,,
April,,,,,4,2.66,2.43,1.54,1.83,1.01,3.37,2.56,3.03,2.09,3.58,5.1,2.93,3.18,0.11,3.24,2.13,3.49,1.97,0.97,2.07,1.22,2.55,2.43,2.17,,
May,,,,,4.39,4.16,1.74,0.83,1.47,2.46,1.66,3.53,4.94,1.91,1.33,1.84,1.12,3.28,2.82,0.89,2.34,2.05,7.08,2.92,1.58,3.66,5.71,3.04,4.92,,
June,,,,,3.17,0.02,3.01,2.37,2,1.86,0.44,3.21,3.06,1.38,0.91,4.21,3.23,1.56,1.59,3.69,0.72,1.81,0.42,1.41,2.47,3.02,2.77,2.01,2.19,,
July,,,,,4.1,2.81,3.36,3.39,1.57,1.2,2.16,4.96,2.58,3.04,1.09,0.31,6.77,4.02,4.06,5.55,2.8,1.86,2.11,3.52,2.27,2.81,1.67,2.53,1.44,,
August,,,,,3.04,4.42,1.3,3.47,1.65,2.29,3.97,3.25,1.11,1.07,4.04,2.67,0.27,0.92,2.61,2.38,0.1,4.41,4.07,3.5,3.85,2.23,4.72,1.6,5.88,,
September,,,,,4.97,4.21,0.43,5.52,1.82,0.66,4.9,1.87,5.05,2.29,4.2,3.9,2.76,3.1,1.97,1.15,1.71,1.45,2.65,2.86,2.35,2.93,7.88,1.28,1.98,,
October,,,,5.24,6.02,4.12,4.21,2.27,8.13,6.82,3.1,0.51,6.83,2.91,2.94,4.66,1.86,5.3,3.54,4.66,4.96,2.41,3.53,5.34,6.12,3.67,1.52,0.81,3.03,,
November,,,,2.22,4.33,3.26,10.09,3.03,4.08,12.02,5.72,7.75,3.42,0.82,2.28,8.12,3.58,2.89,5.43,7.02,9.01,3.08,1.47,2.37,6.67,0.96,7.16,2.42,2.16,,
December,,,,4.11,5.89,4.57,0.47,4.13,3.43,8.75,4.39,1.64,3.33,1.05,11.76,6.06,4.34,4.52,5.53,2.38,3.39,2.4,5.77,3.85,3.69,5.71,4.95,3.16,7.41,,
Total,,,,,46.14,39.4,35.17,40.41,37.6,40.62,40.25,35.44,39.93,30.56,38.79,43.22,41.52,48.32,33.38,41.16,35.92,36.14,36.62,39,33.73,33.16,48.46,33.13,40.46,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Sept 13 Gauge moved about 700ft NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location name didn't change nor altitude but observer did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The new observer lived at Ashton about 1700ft NW but at lower elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances and directions to church and station on 1930 sheet fits with move to road between the two houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances and directions to church and station on 1940 sheet fits with Ashton House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
