"BOURNEMOUTH EAST CLIFF",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,612,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,4.31,,2.97,4.81,3.88,2.03,4.78,1.28,3.62,
February,,,2.11,,0.31,3.71,1.61,2.86,2.38,1.32,0.71,
March,,,2.68,,1.38,0.78,0.56,2.96,2.58,0.11,0.99,
April,,,3.65,,2.63,2.24,3.29,1.81,1.49,1.22,1.88,
May,,,0.52,,3.58,3.06,1.77,0.72,1.02,1.90,1.70,
June,,,1.39,,1.79,0.00,2.53,2.06,2.16,1.45,0.37,
July,,,2.97,,2.89,3.03,1.17,2.24,1.14,1.33,1.05,
August,,,3.13,,2.49,2.65,0.64,2.73,2.26,1.12,2.62,
September,,,1.21,,3.52,2.75,0.55,5.59,1.80,0.28,2.37,
October,,,1.42,,4.17,3.14,4.30,1.87,5.60,3.38,2.23,
November,,,1.87,,2.62,2.21,8.24,3.03,2.50,7.22,5.20,
December,,,3.82,,4.64,3.54,0.49,3.97,2.98,5.19,3.54,
Total,,,29.08,,32.99,31.92,29.03,31.87,30.69,25.80,26.28,
Calc annual,0.00,0.00,29.08,0.00,32.99,31.92,29.03,31.87,30.69,25.80,26.28,
Difference,NaN,NaN,-0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
