BOURNEMOUTH-EAST-CLIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ093909,Long,-1.86939,Lat,50.71791,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,4.31,,2.97,4.81,3.88,2.03,4.78,1.28,3.62,2.18,1.83,1.99,2.39,0.95,5.19,5.59,3.45,5.71,3.72,4.5,3.52,6.22,2.23,1.78,4.05,-999,,,
February,,,2.11,,0.31,3.71,1.61,2.86,2.38,1.32,0.71,1.85,0.08,3.77,0.03,2.32,2.44,5.39,0.74,1.52,3.73,3.42,0.33,1.11,0.43,1.89,3.31,-999,,,
March,,,2.68,,1.38,0.78,0.56,2.96,2.58,0.11,0.99,1.4,1.72,2.83,2.57,1.01,3.19,3.63,0.28,1.32,3.16,3.91,3.08,1.01,0.36,0.84,1.27,7.04,,,
April,,,3.65,,2.63,2.24,3.29,1.81,1.49,1.22,1.88,2.59,2.71,1.14,1.72,3.27,1.5,2.04,0.01,2.3,1.11,2.11,1.83,1.1,1.68,0.93,2.66,2.1,,,
May,,,0.52,,3.58,3.06,1.77,0.72,1.02,1.9,1.7,3.02,3.24,1.45,0.72,0.94,0.64,3.25,1.4,0.92,0.95,1.93,3.62,2.47,0.44,2.06,4.34,2.06,,,
June,,,1.39,,1.79,0,2.53,2.06,2.16,1.45,0.37,2.05,1.87,0.8,0.81,3.12,1.22,0.3,0.81,2.05,0.21,1.5,0.51,1.04,1.62,2.39,3.74,1.59,,,
July,,,2.97,,2.89,3.03,1.17,2.24,1.14,1.33,1.05,3.47,3.22,1.62,0.07,0.48,3.72,1.73,1.82,4.33,2.83,2.02,1.8,2.32,3.01,1.53,0.91,0.86,,,
August,,,3.13,,2.49,2.65,0.64,2.73,2.26,1.12,2.62,3.15,0.78,1.32,3.25,3,0.13,2.05,1.37,3.38,0.02,3.94,3.38,1.63,3.35,2.26,3.25,,,,
September,,,1.21,,3.52,2.75,0.55,5.59,1.8,0.28,2.37,1.43,3.47,3.45,1.7,3.36,2.94,2.45,1.36,2.05,1.65,0.97,2.3,2.99,1.43,2.55,3.07,,,,
October,,,1.42,,4.17,3.14,4.3,1.87,5.6,3.38,2.23,0.64,5.67,1.5,1.49,4.51,1.32,4.44,3.04,5.75,4.52,0.91,4.61,4.17,4.29,3.02,1.36,,,,
November,,,1.87,,2.62,2.21,8.24,3.03,2.5,7.22,5.2,4.54,1.79,0.7,2.84,7.57,3.14,1.39,4.46,5.26,7.34,1.9,1.5,1.99,5.91,1.06,4.6,,,,
December,,,3.82,,4.64,3.54,0.49,3.97,2.98,5.19,3.54,0.98,1.21,1.09,8.08,4.46,3.94,4.67,3.14,1.83,2.63,2.03,4.06,2.94,1.96,4.31,3.21,,,,
Total,,,29.08,,32.99,31.92,29.03,31.87,30.69,25.8,26.28,27.3,27.59,21.66,25.67,34.99,29.37,36.93,21.88,36.42,31.87,29.14,30.54,28.99,26.71,24.62,35.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Grove Road East Cliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Apr 23 Inspection Actions needed Move gauge and sink in lawn making rim 1in above ground Cut tubing to leave straight piecs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 June 18 Gauge moved to chosen site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb apportioned Combined value 5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Moved to Ringwood where a record will be reinstated Stn No 624/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
