"COATBRIDGE (WEST END PARK)",,,,,,,,,,,,
Grid ref,NS717638,Long,-4.050908,Lat,55.850281,,,,,,,
Station no,5182/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.45,3.84,1.38,4.16,2.13,2.15,4.96,3.42,1.38,2.85,,
February,2.21,1.18,1.23,2.78,1.58,1.65,2.75,2.58,1.43,2.70,,
March,2.98,2.02,0.89,2.28,1.66,2.45,3.45,1.08,1.41,1.79,,
April,2.20,1.83,2.11,1.42,1.06,0.98,1.60,1.68,2.71,2.23,,
May,1.81,1.58,1.80,3.27,2.83,2.01,2.63,2.83,0.90,2.65,,
June,3.30,2.14,1.33,2.61,1.57,2.92,2.64,3.03,2.57,2.26,,
July,3.63,2.38,3.85,3.12,1.25,5.15,3.47,5.21,5.03,3.89,,
August,5.31,3.41,2.77,5.47,1.40,5.40,4.36,5.03,0.86,2.50,,
September,2.95,1.98,2.66,4.11,2.63,4.23,2.69,4.04,1.03,2.26,,
October,0.98,2.93,1.58,9.93,2.67,2.80,3.16,2.77,4.01,2.84,,
November,5.73,2.32,5.78,5.82,1.61,1.36,1.94,1.91,4.71,4.52,,
December,4.71,3.14,4.04,4.66,5.75,4.60,3.68,4.38,4.49,3.83,,
Total,40.26,28.75,29.42,49.63,26.14,35.70,37.33,37.96,30.53,34.32,,
Calc annual,40.26,28.75,29.42,49.63,26.14,35.70,37.33,37.96,30.53,34.32,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
