COATBRIDGE (WEST END PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS717638,Long,-4.050908,Lat,55.850281,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,0.93,5.21,3.61,3.68,2.65,3.71,2.78,6.05,2.77,2.36,4.45,3.84,1.38,4.16,2.13,2.15,4.96,3.42,1.38,2.85
February,,,,,,,,,,,2.9,1.3,3.79,1.25,4.97,2.42,1.12,2.37,3.15,3.89,2.21,1.18,1.23,2.78,1.58,1.65,2.75,2.58,1.43,2.7
March,,,,,,,,,,,3.13,1.8,1.83,0.57,2.47,2.02,2.42,2.21,1.58,3.54,2.98,2.02,0.89,2.28,1.66,2.45,3.45,1.08,1.41,1.79
April,,,,,,,,,,,1.52,1.58,2.44,2.05,1.65,1.16,4.34,2.47,2.65,2.94,2.2,1.83,2.11,1.42,1.06,0.98,1.6,1.68,2.71,2.23
May,,,,,,,,,,0.89,4.06,2.46,3.89,2.41,3.52,1.33,3.06,1.38,1.6,1.22,1.81,1.58,1.8,3.27,2.83,2.01,2.63,2.83,0.9,2.65
June,,,,,,,,,,0.83,0.73,1.2,3.61,2.59,3.83,2.68,2.69,5.4,0.92,2.06,3.3,2.14,1.33,2.61,1.57,2.92,2.64,3.03,2.57,2.26
July,,,,,,,,,,4.45,3.35,2.22,2.54,3.22,3.23,3.29,2.22,3.08,1.98,4.85,3.63,2.38,3.85,3.12,1.25,5.15,3.47,5.21,5.03,3.89
August,,,,,,,,,,1.83,4.29,3.09,4.85,3.22,2.39,2.75,0,5.52,4.08,4.3,5.31,3.41,2.77,5.47,1.4,5.4,4.36,5.03,0.86,2.5
September,,,,,,,,,,3.53,0.96,3.74,1.85,4.71,4.49,6.26,3.3,5.01,1.23,8.63,2.95,1.98,2.66,4.11,2.63,4.23,2.69,4.04,1.03,2.26
October,,,,,,,,,,3.26,3.18,4.6,5.7,4.24,4.31,0.56,1.18,3.87,5.49,2.35,0.98,2.93,1.58,9.93,2.67,2.8,3.16,2.77,4.01,2.84
November,,,,,,,,,,4.06,2.44,0.7,1.96,6.06,0.53,4.26,4.05,2.07,3.46,2.95,5.73,2.32,5.78,5.82,1.61,1.36,1.94,1.91,4.71,4.52
December,,,,,,,,,,3.78,1.85,3.04,1.13,4.14,2.69,2.32,2.2,3.43,7.57,2.19,4.71,3.14,4.04,4.66,5.75,4.6,3.68,4.38,4.49,3.83
Total,,,,,,,,,,,29.34,30.94,37.2,38.14,36.73,32.76,29.36,42.86,36.48,41.28,40.26,28.75,29.42,49.63,26.14,35.7,37.33,37.96,30.53,34.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,656992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
