MALMESBURY-BURTON-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST935863,Long,-2.0951899,Lat,51.575527,Elevation,250,ft,,,,,,,,,,,,,
Station no,1499,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.69,4.41,1.11,3.99,2.1,3.32,2.09,,,,,,,
February,,,,,,,,3.99,2.18,0.9,0.71,1.95,0.1,2.9,,,,,,,
March,,,,,,,,2.26,2.82,0.26,1.77,0.41,2.58,2.85,,,,,,,
April,,,,,,,,1.09,1.43,0.92,1.68,2.3,2.95,1.34,,,,,,,
May,,,,,,,,0.55,0.78,2.18,1.37,4.52,6.22,1.41,,,,,,,
June,,,,,,,,2.94,2.69,0.98,0.85,4.37,1.15,1.46,,,,,,,
July,,,,,,,,3.45,3.26,1.26,3.17,3.47,2.82,1.76,,,,,,,
August,,,,,,,,3.49,2.2,2.56,2.33,3.49,0.8,0.8,,,,,,,
September,,,,,,,,5.73,1.19,0.33,3.38,1.94,3.51,3.57,,,,,,,
October,,,,,,,,2.02,4.36,3.89,1.94,0.53,5.24,2.58,,,,,,,
November,,,,,,,,2.47,2.79,6.67,3.67,2.89,1.84,0.73,,,,,,,
December,,,,,,,,2.66,2.67,6.5,3.41,1.49,1.13,0.45,,,,,,,
Total,,,,,,,,33.34,30.78,27.56,28.27,29.46,31.66,21.94,,,,,,,
