SEAHAM HARBOUR - observer Aird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ424493,Long,-1.341392,Lat,54.836736,Elevation,141,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.54,0.72,3.06,1.83,1.34,0.55,1.08,0.68,1.47,3.21,1.5,3.47,,,,,,,,,,,,,,2.95,1.54,0.86,2.21,2.01,0.24,2.41,0.42,1.09,0.77,2.37,1.55,,,,,,,,
February,,,,,,1.16,2.14,1.82,1.02,3.1,1.74,3.53,0.63,1.95,1.26,1.1,0.92,,,,,,,,,,,,,,4.46,1.93,1.3,0.76,2.14,0.68,1.29,1.05,1.14,1.34,2.2,1.16,,,,,,,,
March,,,,,,0.59,2.29,2.82,1.16,0.78,1.63,3.22,0.99,1.94,2.67,2.01,2.56,,,,,,,,,,,,,,1.79,1.76,0.48,1.29,1.15,1.28,1.02,0.9,2.65,3.92,0.49,2.02,,,,,,,,
April,,,,,,0.77,2.86,4.46,2.42,2.07,2.03,1.23,4.42,1.33,1.85,2.07,1.99,,,,,,,,,,,,,,0.72,1.06,1.57,1.47,1,2.63,1.14,1.9,2.44,2.49,2.22,1.29,,,,,,,,
May,,,,,,0.92,1,2.59,2.8,1.69,1.4,1.56,3.22,1.85,1.02,3.43,2.64,,,,,,,,,,,,,,1.25,2.13,2.17,2.49,2.85,0.64,4.97,4.12,1.27,1.59,2.13,0.95,,,,,,,,
June,,,,,,2.42,1.89,1.42,1.86,4.13,1.09,1.69,2.71,2.89,0.65,2.06,,,,,,,,,,,,,,,3.3,1.36,2.19,2.53,1.33,0.73,0.92,2.73,0.5,1.87,1.83,3.84,,,,,,,,
July,,,,,,4.02,2.72,3.01,0.42,3.74,3.75,4.14,2.99,4.21,3.02,1.46,,,,,,,,,,,,,,,2.02,1.72,2.31,4.42,1.45,1.26,0.87,1.32,2.75,2.7,2.2,0.9,,,,,,,,
August,,,,,,3.26,2.12,5.36,4.57,2.72,1.98,5.13,2.6,2.08,0.79,3.39,,,,,,,,,,,,,,,4.87,1.71,1.48,2.46,3.39,2.63,2.22,1.67,1.34,3.11,2.96,2.27,,,,,,,,
September,,,,,,1.61,3.42,1.97,1.88,1.04,3.59,3.9,1.25,4.6,1.27,2.21,,,,,,,,,,,,,,,0.56,1.26,0.81,2.61,0.82,2.12,0.42,0.36,1.64,1.94,0.6,2.04,,,,,,,,
October,,,,,,3.56,1.79,2.4,1.68,0.83,4.49,3.08,3.73,2.19,1.95,4.05,,,,,,,,,,,,,,,7.1,2.01,1.93,7.79,0.53,2.45,4.56,3.28,0.94,2.01,2.41,2.39,,,,,,,,
November,,,,,,6.67,2.88,1.51,5.75,3.44,1.95,1.16,3.06,1.12,1.74,1.99,,,,,,,,,,,,,,,2.66,5,1.25,2.4,2.52,4.67,3.05,1.37,1.67,1.11,2.54,4.17,,,,,,,,
December,,,,,,1.64,6.25,1.67,4.24,0.69,3.6,1.67,4.21,2.33,1.36,0.89,,,,,,,,,,,,,,,2.16,3.43,2.61,1.96,2.05,0.41,2.42,3.06,1.06,3.58,1.99,3.19,,,,,,,,
Total,,,,,,29.16,30.08,32.09,29.63,25.57,27.8,31.39,30.49,27.96,20.79,26.16,,,,,,,,,,,,,,,33.84,24.91,18.96,32.39,21.24,19.74,25.29,22.18,18.49,26.43,23.94,25.77,,,,,,,,
