SEAHAM CEMETERY,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ424493,Long,-1.341392,Lat,54.836736,Elevation,141,ft,,,,,,,,,,,,
Station no,RR2775,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.77,0.96,1.38,1.83,1.5,1.57,1.32,1.5,4.01,0.98,1.84,1.1,2.81
February,,,,,,,,0.64,1.02,1.37,1.42,0.14,1.68,1.99,2.67,1.07,0.58,1.72,1,1.21
March,,,,,,,,1.86,4.93,2.77,1.77,2.49,0.93,0.64,1,2.14,2.09,2.61,1.34,1.99
April,,,,,,,,0.78,1.84,2.26,0.76,1.69,1.16,0.59,1.12,1.57,0.64,1.38,2.36,2.19
May,,,,,,,,1.7,0.63,2.58,2.55,1.95,1.71,1.47,2.51,0.89,0.99,1.09,2.12,3.96
June,,,,,,,0.65,0.37,2.2,0.37,3.06,0.31,3.03,1.15,3.51,1.69,2.64,2.89,2.51,1.82
July,,,,,,,4.97,1.26,6.95,3.61,1.96,4.81,1.64,3.13,2.55,5.9,2.33,1.35,0.47,2.45
August,,,,,,,1.39,1.94,2.32,3.31,6.64,3.69,3.6,2.05,2.51,3.23,1.79,2.66,1.95,0.88
September,,,,,,,1.49,5.45,1.53,1.24,1.91,1.91,2.67,1.52,0.94,0.61,2.86,2.49,0.55,2.68
October,,,,,,,3.06,3.36,0.69,3.48,2.44,2.06,5.53,0.8,4.27,4.53,6.54,1.36,3.71,2.77
November,,,,,,,2.56,2.7,3.94,0.98,3.69,1.56,1.34,2.93,0.61,2.35,1.33,2.23,2.93,1.56
December,,,,,,,3.9,3.3,0.95,1.47,1.54,2.81,1.23,1.62,1.88,2.08,3.81,1.38,1.25,3.02
Total,,,,,,,,25.13,27.96,24.82,29.57,24.92,26.09,19.21,25.07,30.07,26.58,23,21.29,27.34
