BUXTON-EMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ999764,Long,-2.0029602,Lat,53.284571,Elevation,1430,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/6/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.87,5.93,3.56,5.2,4.57,5.06,5.05,6,7.6,,,,6.45,7.6,5.8,6.1,,10.5,3.7,4,6.2,7.1,3.38,5.1,3.8,8.1,3.1,,4.93,7.4
February,6.45,0.3,5.91,0.45,7.53,4.78,6.85,2.4,3.35,,,,,2.4,4.9,8.1,,3.5,,6.55,5.15,4.18,3.5,4.45,3.7,1.55,,8.6,,4.92
March,0.34,3.61,3.47,4.13,2.07,2.35,4.7,2,2.9,3.4,3.55,3,1.4,1.08,2.25,1.5,,2.3,3,2.35,7.4,3.4,3.79,3.5,3.56,1.85,,2.2,,2
April,5.89,5.48,2.52,2.71,3.91,1.67,5.4,0.6,3,3.05,3.6,1.45,3.15,3.75,2.95,2.25,4.35,2.45,3.85,4.75,3.6,5.16,4.2,1.15,3.35,2,0.33,,,2.6
May,3.24,5.94,2.51,3.7,0.59,0.41,2.65,4.25,1.6,1.6,3.3,5.75,3.85,3.8,4.2,1.55,2.85,1.85,3.6,1.3,2.25,2.83,2.8,3.9,5.1,1.4,,4.5,0.83,2.1
June,6.1,1.13,4.39,3.29,5.15,3.97,1.9,5.4,3.65,1.5,2.75,0.95,4,,5.2,5.1,3,7.3,2.4,4.1,2.7,3.78,4.65,4.65,4.05,,2,7.3,2.3,2.45
July,5.75,5.7,3.83,4.13,2.07,7.43,5.35,6.3,7.75,,3.85,6.05,1.9,5.15,2,6.2,3.8,4.9,2.4,3.8,4,4.95,6.05,7.95,1.6,,6.3,,4.15,7.19
August,7.49,2.11,1.87,4.7,2.55,2.98,1.85,3.2,2.75,2.9,8.4,4.95,4.4,4.05,3.85,6.3,0.61,8,2.8,5.7,7.1,3.03,6.63,6.35,1,,,,1.4,4.75
September,4.91,4.64,0.72,4.82,7.33,5.79,1.75,3.15,1.75,4.2,0.9,4.15,5.7,5.05,2.45,7,2.7,3.25,,7.35,3.4,5.67,4.25,5.75,3.5,3.9,,,0.37,4.2
October,2.82,9.18,6.53,7.75,9.55,6.8,2.8,7.6,3.15,5.1,6.1,8.2,3.6,6.1,7.75,1.2,1.25,3.55,5.2,3.2,1.55,5.43,2.9,8.8,3.55,3.2,,5,4.6,
November,7.42,4.24,2.54,2.15,7.08,6.25,2.1,6.3,7.4,8.15,4.6,1.4,4.2,7.8,0.95,7.5,5.45,3.15,6.45,6.82,12.1,3.73,3.5,8,3.35,2.2,,2.1,5.6,6.4
December,2.71,1.99,0.52,8.38,5.39,6.04,5.35,6.5,3.09,5.5,3.7,5.9,3.1,3.95,4.15,5.1,5.4,5,7.35,4.95,7.66,4.69,2.78,8,5.6,6.7,,4.15,8.5,
Total,61.99,50.25,38.37,51.41,57.79,53.53,45.75,53.7,47.99,,,,,,46.45,57.9,,55.75,,54.87,63.11,53.95,48.43,67.6,42.16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id EMBRIDGE start 1931 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Embridge Causeway. Altitudes match. Gauge was initially in Cheshire with Station No 2727/2 but became Derbyshire in 1938 due to boundary change. No suggestion that the gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
