"KIRKMICHAEL, DUMFRIES",,,,,,,,,,
Grid ref,NY022870,Long,-3.5368421,Lat,55.16761,Elevation,239,ft,,
Station no,RR6287,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.8,,,,
February,,,,,,0.84,,,,
March,,,,,,2.9,,,,
April,,,,,0.35,1.5,,,,
May,,,,,3.9,1.7,,,,
June,,,,,4.25,3.6,,,,
July,,,,,2.8,3.6,,,,
August,,,,,5.4,5.8,,,,
September,,,,,2.5,0.8,,,,
October,,,,,4.2,5.6,,,,
November,,,,,2.9,2.6,,,,
December,,,,,4.9,2.8,,,,
Total,,,,,,32.54,,,,
,,,,,,,,,,
"1854 Jan, Feb, Mar and total estimated therefore removed",,,,,,,,,,
Location broad estimate. Other records for these 2 years are all at schools. No historical school in Kirkmichael which is too high anyway.,,,,,,,,,,
