PENRHYN QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH625655,Long,-4.058414,Lat,53.168803,Elevation,528,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6.09,3.6,5.13,10.61,8.12,4.68,9.69,2.91,6,4.55,6.14,2.52,5.62,8.95,5.28,8.92,4.76,3.27,7.71,7.49,8.07,9.81,7.36,6.49,6.04,5.8,7.91,7.13,12,2.51,13.51,6.56,12.92,9.13,7.73,4.93,8.33,5.07,6.92,11.03,3.3,2.46,8.82,9.62,8.82,3.62,9.37,9.54,14.81,3.47,1.65,5.26,6.7,2.54,5.04,5.04,4.33,7.89,6.33,8.19,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,5.14,2.63,1.92,7.73,4.41,2.81,5.38,2.97,4.17,1.87,8.43,5.28,4.87,2.88,9.55,10.35,9.11,1.93,8.64,2.57,5.3,0.95,8.62,13.19,1.33,9.65,4.66,5.15,8.01,1.74,0.62,5.49,0.36,4.06,0.84,9.79,5.51,7.64,2.46,7.04,4.52,6.77,2.73,5.44,2.43,5.37,7.08,2,3.85,4.29,5.66,8.99,2.34,3.81,4.74,2.96,0.74,6.47,9.67,1.05,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.33,6.89,4.07,12.12,4.63,7.62,5.59,4.18,6.64,4.21,5.16,3.35,11.13,7.01,7.88,2.77,3.25,3.98,2.84,9.57,11.22,8.97,4.18,2.43,1.71,2.93,2.09,9.91,5.61,1.26,3.94,1.6,4.31,4.34,4.99,0.88,4.53,1.88,3.72,6.34,3.72,5.38,4.8,1.81,1.28,1.77,1.47,9.46,3.79,2.66,4.35,7.46,3.18,2.36,5.45,2.72,2.42,5.78,1.29,2.97,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.63,4.16,3.46,2.85,5.19,5.87,2.17,2.89,3.07,4.83,6.94,5.33,0.78,7.71,1.42,4.41,4.98,3.94,1.62,5.48,8.35,2.79,4.95,5.79,4.44,4.27,3.41,2.88,2.54,1.29,3.11,6.56,6.16,1.34,4.81,4.93,2.43,4.32,0.92,3.61,3.26,2.33,3.99,2.68,2.2,2.94,2.16,4.66,2.42,5.24,2.8,3.55,3.74,4.92,2.18,3.78,2.07,0.68,1.78,7.42,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.51,1.73,5.86,3.35,2.77,1.48,5.66,3.29,2.79,1.59,3.32,2.74,1.53,3.98,3.71,2.69,5.63,3.33,4.65,1.32,6.4,3.42,0.92,5.24,9.05,5.67,4.71,2.56,2.32,4.22,2.65,3.61,4.7,2.54,8.08,2.65,2.68,1.27,3.38,1.86,3.41,2.93,7.12,5.57,2.66,3.13,2.72,4.78,1.84,2.79,1.24,2.94,3.16,3.38,4.72,4.85,2.43,4.13,8.21,2.53,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.44,4.11,3.53,1.58,3.35,2.79,2.39,5.89,3.41,3.57,3.32,4.83,8.21,5.74,4.36,1.11,4.64,3.16,3.48,3.7,4,0.71,3.61,2.34,5.12,0.21,5.12,6.28,9.67,2.5,2.74,4.89,2.44,4.45,2.53,6.19,7.06,2.03,8.1,3.62,1.93,0.4,0.52,4.27,2.57,3.58,4.78,2.08,6.07,0.6,2.88,1.46,4.09,3.05,4.19,5.56,3.12,2.08,5.93,3.15,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.7,1.58,3.04,4.16,3.82,3.56,1.99,2.15,4.86,5.73,6.58,1.22,7.63,1.99,4.62,4.87,2.83,2.56,4.7,4.33,13.53,3.55,5.28,4.96,4.55,4.74,5.53,4.88,4.27,3.95,6.62,4.34,7.29,3.12,2.66,2.11,5.76,2.21,6.91,8.71,5.3,2.71,5.28,3.12,3.56,4.66,3.42,2.7,3.56,1.46,2.95,2.51,2.92,5.12,6.97,1.49,6.68,9.73,5.19,2.59,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,8.16,5.94,3.11,7.61,4.44,5.6,6.42,5.5,5.9,4.68,8.28,4.63,9.29,3.9,2.98,5.2,6.38,11.94,3.55,6.25,5.18,9.63,3.98,6.38,8.52,4.36,4.95,10.69,7.43,6.41,8.29,9.02,1.85,2.72,7.44,2.32,2.49,1.82,3.02,2.28,0.92,4.97,5.65,5.36,2.73,0.68,3.67,0,5.85,2.21,7.85,8.25,5.15,3.26,8.85,1.92,11.96,8.93,4.75,1.28,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4.71,3.5,2.91,6.41,3.94,3.88,1.08,0.84,4.95,4.8,0.57,5.53,2.01,5.7,3.73,3.69,4.56,3.28,10.74,6.03,5.05,1.94,5.08,9.71,9.18,5.31,3.34,8.76,2.38,3.26,4.89,6.42,5.76,2.97,6.19,9.08,3.77,4.86,4.24,1.83,4.79,1.56,6.17,7.77,6.63,3.12,7.65,4.76,4.84,1.71,11.59,8.25,6.45,6.8,7,3.55,4.89,7.21,8.98,1.23,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8.06,6.95,4.49,10.97,2.86,5.62,9.81,10.3,1.57,10.21,5.44,5.75,7.94,5.57,3.55,3.42,9.65,10.75,9.28,4.12,5.11,4.52,2.17,10.95,5.21,8.48,4.82,6.58,10.25,9.96,11.87,4.49,9.98,6.21,9.27,11.22,4.67,5.66,9.6,5.18,5.49,5.61,8,7.12,6.49,5.38,0.68,0.65,3.58,8.3,5.07,1.78,6.58,4.05,12.53,5.1,4.57,9.26,7.1,9.54,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
