CARRINGTON GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF312545,Long,-0.043,Lat,53.072,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.15,1.78,3.51,0.74,0.77,1.76,1.57,0.55,2.71,0.58,1.10,1.05,1.54,1.66,2.62,2.87,1.62,2.84,0.88,2.31,2.09,3.22,1.70,2.04,2.20,1.53,1.92,1.35,2.64,1.84,3.29,1.80,2.28,2.70,0.93,1.70,1.65,2.44,3.49,3.60,2.53,4.28,1.62,2.38,2.67,4.89,2.61,2.79,1.73,2.29,4.40,1.33,1.22,3.06,1.88,0.97,1.43,2.21,3.78,1.67,1.95,1.49,4.19
February,0.67,0.71,3.91,1.68,1.43,0.43,2.74,0.59,2.38,1.38,1.42,0.44,2.57,1.25,1.23,0.71,0.80,2.06,3.59,0.72,1.38,2.84,0.95,0.49,2.85,3.32,1.00,1.55,1.56,1.97,1.46,0.59,1.11,2.27,0.41,1.80,0.65,1.96,2.76,2.40,1.02,0.73,2.26,2.49,1.21,0.54,2.56,2.09,2.03,1.85,1.12,0.93,3.30,3.47,0.71,1.51,2.52,1.63,1.40,2.73,3.04,0.35,2.94
March,1.53,0.99,0.42,1.68,1.29,3.27,1.75,1.64,2.30,1.78,1.87,3.18,0.54,2.18,1.85,2.22,2.56,1.47,3.87,1.34,0.65,2.36,1.98,1.02,1.75,1.86,0.66,1.14,0.47,2.37,1.27,0.39,1.82,1.27,1.74,2.37,1.65,0.50,1.32,2.56,0.22,2.20,1.58,3.40,1.38,0.56,0.44,0.81,0.89,4.31,0.62,1.04,1.12,3.61,3.24,1.08,2.25,1.80,1.01,2.02,1.81,2.01,1.47
April,2.08,1.55,1.28,1.42,1.50,1.50,0.74,1.67,0.43,1.61,2.38,1.48,1.98,0.99,0.21,2.27,1.06,0.45,3.04,2.67,1.41,2.27,3.69,1.06,2.37,0.72,1.91,1.71,1.53,2.12,1.11,0.53,2.87,2.26,3.32,1.23,1.73,3.04,1.83,2.87,0.32,1.59,1.15,0.95,0.62,1.17,2.19,1.63,1.17,2.13,1.11,2.21,2.45,2.64,1.32,3.50,0.31,1.44,1.51,0.30,0.99,1.93,0.93
May,2.30,2.10,1.31,1.69,3.09,2.65,1.78,1.06,1.90,2.83,1.61,1.16,2.70,0.36,1.86,1.87,1.35,1.85,1.78,1.99,2.47,0.43,2.72,1.53,0.56,1.55,2.90,3.07,2.01,1.22,1.36,1.11,2.28,2.18,3.87,1.84,0.75,0.25,0.47,3.87,2.08,0.80,1.26,2.36,3.78,2.44,1.72,1.38,1.55,0.43,2.58,2.15,2.65,3.89,2.35,3.69,2.95,3.10,0.53,1.78,2.61,0.35,0.79
June,1.61,1.36,2.91,1.37,2.72,1.27,0.44,1.84,1.90,1.77,1.46,5.00,2.63,3.41,3.47,0.69,2.24,0.62,2.27,1.54,0.65,0.98,1.76,0.91,0.96,0.54,2.63,0.10,2.72,3.12,2.41,1.07,1.18,2.14,0.27,2.23,0.67,3.07,3.14,1.74,1.26,2.33,0.73,0.34,1.35,1.35,2.17,2.34,2.60,3.03,3.71,0.79,1.52,1.70,2.23,3.47,2.34,2.56,2.79,2.26,3.63,0.51,0.45
July,0.47,2.40,1.31,2.28,1.29,3.11,3.22,1.07,0.26,2.21,2.74,4.32,3.13,0.19,3.79,0.65,1.18,4.51,2.52,1.41,2.44,2.71,2.63,0.58,3.77,2.43,3.24,0.76,1.46,2.41,1.02,1.95,2.94,5.25,4.09,1.25,1.27,0.83,4.59,4.73,3.02,2.39,5.75,4.15,2.89,0.81,1.85,1.61,2.89,2.50,1.59,2.83,2.59,1.13,0.36,1.72,2.41,1.66,2.34,2.75,4.59,2.67,2.99
August,2.96,0.54,3.51,1.89,3.33,4.43,3.01,3.02,1.77,2.10,2.01,3.70,2.95,2.04,5.97,0.46,0.99,2.44,2.12,4.69,1.50,2.94,1.25,2.72,2.21,2.12,2.46,1.36,2.11,3.39,1.46,0.77,2.60,4.31,2.62,0.53,2.03,2.24,1.33,1.50,2.52,1.24,0.77,4.04,1.71,2.57,2.74,2.85,3.88,0.17,4.20,2.09,1.94,4.36,1.64,2.97,4.16,0.93,3.29,2.44,2.22,1.09,3.87
September,0.28,2.07,0.67,0.75,1.09,3.32,2.36,2.42,0.89,0.60,1.80,1.16,0.79,2.27,1.50,2.61,0.87,0.72,1.34,1.17,3.83,1.93,1.56,0.61,2.26,2.51,1.95,2.82,1.36,3.93,0.43,0.49,3.80,2.31,2.36,1.78,1.07,2.72,1.40,1.56,2.32,1.66,1.08,0.94,1.35,2.39,3.90,2.11,3.52,1.45,2.31,1.33,4.34,1.60,2.15,1.14,2.46,0.96,1.95,4.38,2.22,0.17,2.49
October,2.95,3.32,2.06,2.09,1.80,5.74,0.82,1.95,4.61,4.30,0.88,3.32,2.12,2.54,1.96,4.75,1.97,0.87,1.92,3.47,1.80,2.55,1.45,2.13,1.19,2.17,3.67,2.13,1.90,1.90,3.56,2.48,1.37,0.83,3.34,2.88,1.13,2.52,2.20,1.92,2.51,3.69,2.77,3.13,2.39,1.06,3.22,2.43,3.46,0.34,1.99,2.99,1.09,1.34,2.40,2.34,2.91,1.40,1.36,1.79,2.09,1.88,5.98
