"WOOLER VICTORIA HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3599,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.15,3.62,2.99,1.40,1.50,1.75,3.54,1.23,3.58,1.54,2.44,
February,1.84,0.35,1.56,3.89,1.05,4.49,2.94,0.87,1.75,1.68,1.84,
March,2.70,1.34,1.09,1.24,0.58,1.97,0.98,2.32,3.89,0.60,2.02,
April,1.64,0.56,2.08,2.13,1.36,3.05,2.20,1.66,1.44,1.24,1.92,
May,2.92,1.17,0.72,2.48,3.60,2.14,1.92,1.90,0.96,0.93,0.99,
June,0.47,0.57,1.31,0.92,1.97,0.59,3.84,2.70,4.91,1.78,1.13,
July,3.29,2.42,4.36,1.70,3.70,1.59,4.13,3.81,1.08,3.17,4.03,
August,3.24,5.09,1.53,3.15,2.44,1.95,2.53,5.14,3.65,3.89,4.65,
September,1.75,1.24,3.14,1.87,2.74,3.71,3.73,5.10,1.14,0.22,3.17,
October,2.47,2.84,3.96,2.27,3.73,1.17,3.64,2.04,3.22,2.66,2.05,
November,0.70,1.71,1.06,4.18,1.11,1.46,3.62,3.17,3.04,3.67,4.15,
December,3.34,1.57,2.65,2.59,2.08,2.61,0.65,3.26,1.93,5.08,2.69,
Total,26.51,22.48,26.45,27.82,25.86,26.48,33.72,33.20,30.59,26.46,31.08,
Calc annual,26.51,22.48,26.45,27.82,25.86,26.48,33.72,33.20,30.59,26.46,31.08,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
