"LOANHEAD, ELMSWOOD",,,,,,,,,,
Grid ref,NT286655,Long,-3.1427768,Lat,55.877343,Elevation,520,ft,,
Station no,RR8218,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.1,2.01,2.39,2.08,1.67,,,,
February,,2.41,2.01,1.24,1.87,2.15,,,,
March,,1.52,2,3.89,2.78,1.19,,,,
April,,1.37,0.2,2.26,1.39,1.31,,,,
May,,0.98,1.6,1.51,2.35,,,,,
June,,3.06,5.02,1.38,1.32,,,,,
July,3.94,0.85,2.48,0.35,2.3,,,,,
August,4.52,1.72,4.97,1.66,1.95,,,,,
September,0.63,1.26,3.03,2.41,0.64,,,,,
October,3.13,2.85,2.76,1.92,1.42,,,,,
November,2.75,4.76,1.82,2.26,3.35,,,,,
December,1.56,2.48,3.79,1.84,4.11,,,,,
Total,,24.36,31.69,23.11,25.56,,,,,
