"PERSHORE, SOUTHERN HOUSE",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO948456,Long,-2.0773423,Lat,52.108703,Elevation,70,ft,,,,,,,,,,,,,
Station no,2430,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.56,3.1,2.72,3.67,0.86,3.72,1.8,2.15,1.76,1.99,0.83,2.86,2.91,,,
February,,,,,,2.72,2.05,2.38,1.69,0.62,0.53,1.86,0.23,2.49,0.39,1.9,1.95,3.39,,,
March,,,,,,0.37,0.55,2.04,2.68,0.08,1.71,0.06,1.41,2.17,1.53,0.63,1.89,2.74,,,
April,,,,,,1.48,2.39,1.27,0.8,0.6,2.07,3.01,2.33,0.89,2.38,3.85,1.79,1.92,,,
May,,,,,,2.47,3.49,1.17,0.98,1.68,1.93,3.56,7.24,1.85,0.88,1.3,1.14,1.97,,,
June,,,,,,0.1,1.51,2.46,2.67,1.11,1.77,5.15,1.11,2.54,0.67,3.41,3.69,1.1,,,
July,,,,,,2.98,1.65,2.59,1.2,1.35,2.96,2.88,2.07,1.52,0.36,0.33,5.35,3.48,,,
August,,,,,,1.79,2.42,3.01,1.8,1.24,2.99,3.84,2.38,0.61,1.87,0.9,0.21,0.41,,,
September,,,,,,3.29,0.48,3.75,0.6,0.64,2.67,2.67,3.36,1.11,1.95,2.89,3.13,2.28,,,
October,,,,,,2.78,2.15,1.54,3.71,4.44,2.25,0.84,3.31,,1.07,3.22,1.51,,,,
November,,,,,,1.38,5.93,3.09,2.61,6.52,3.61,3.19,1.48,0.7,1.57,5.12,2.07,,,,
December,,,,,,2.4,0.32,2.5,1.89,4.78,2.63,1.08,1,0.19,4.46,3.12,2.4,,,,
Total,,,,,,23.32,26.04,28.52,24.3,23.92,28.84,29.94,28.07,,19.12,27.5,27.99,,,,
,,,,,,,,,,,,,,,,,,,,,
1924 Dec estimated,,,,,,,,,,,,,,,,,,,,,
1933 Oct adjusted from nearby stations,,,,,,,,,,,,,,,,,,,,,
