JONESBOROUGH FLURRYBRIDGE,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ064187,Long,-6.372655,Lat,54.106943,Elevation,340,ft,,,,,,,,,,,,
Station no,RR2712,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.09,8.37,4.1,4.09,1.32,1.24,2.44,6.43,3.94,2.93,2.6,,,
February,,,,,,,5.13,3.22,2.53,3.8,2.11,2.95,3.92,4.02,3.86,2.83,3.41,,,
March,,,,,,,3.7,3.47,1.34,1.63,3.02,3.76,3.74,1.94,3.75,2.44,3.75,,,
April,,,,,,,2.77,4.76,2.88,2.19,5.22,2.62,4,2.38,2.4,2.89,2.18,,,
May,,,,,,,0.37,2.63,6.07,4,1.44,3.17,2.75,1.8,2.66,1.63,4.36,,,
June,,,,,,,2.32,4.01,3.16,4.72,3.42,5.34,4.62,2.2,0.86,0.66,3.69,,,
July,,,,,,,1.82,4.46,0.76,7.6,5.87,1.89,6.63,3.25,3.77,2.06,3.5,,,
August,,,,,,,4.1,4.9,3.19,4.32,1.22,5.64,2.45,3.85,1.55,1.34,2.98,,,
September,,,,,,,4.91,2.72,4,6.06,4.14,3.42,3.75,4.53,1.96,4.96,1.24,,,
October,,,,,,,5.35,4.97,3.65,3.03,1.96,3.49,4,3.11,3.01,3.84,5.34,,,
November,,,,,,,5.27,5.19,1.41,1.35,3.61,6.26,7.64,4.58,3.42,2.94,3.65,,,
December,,,,,,,11.54,4.73,1.25,1.33,2.32,2.92,3.44,1.95,4.61,0.72,6.48,,,
Total,,,,,,,49.37,53.43,34.34,44.12,35.65,42.7,49.38,40.04,35.79,29.24,43.18,,,
