WIMBORNE-WALSFORD-BRIDGE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU006009,Long,-1.99212,Lat,50.80809,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.63,4.42,2.49,2.83,2.78,2.7,0.96,5.83,6.33,3.58,7,3.79,4.51,4.52,7.89,2.2,2.42,3.53,3.59,6.4,0.76,0.77,3.39,2.32,0.87,2.1,4.05,5.49,2.83,4.68,4.15,3.93
February,,,,,,,,,,0.81,0.81,2.25,0.07,4.89,0.04,3.64,3.34,6.47,0.76,1.85,4.56,4.02,0.35,1.15,0.53,2.34,2.7,2,1.17,1.52,6.05,5.89,0.61,1.68,3.13,2.39,0.31,3.9,3.19,0.26,3.03
March,,,,,,,,,,0.15,1.09,1.12,1.62,3.84,3.51,1.08,4.01,4.04,0.27,1.37,3.27,3.71,2.95,0.95,0.33,0.92,1.34,8.22,1.12,1.46,1.65,4.08,3.23,0.55,4.47,1.35,1.06,3.13,1.82,3.85,2.05
April,,,,,,,,,,0.79,2.32,2.56,3,1.63,2.29,3.42,2.02,2.49,0,2.4,1.15,2.29,2.06,0.9,1.93,0.87,3.04,2.87,1.71,1.74,2.96,2.75,1.89,2.51,0.12,0.47,1.95,0.21,0.62,3.16,1.81
May,,,,,,,,,,2.28,2.78,3.37,3.3,1.22,0.81,1.14,0.6,3.17,1.83,1.18,1.25,2.51,3.84,2.8,0.6,2.26,4.82,1.87,2.76,1.82,1.67,2.53,2.32,2.57,1.99,4.14,0.56,2.43,2.59,1.36,2.23
June,,,,,,,,,,1.45,0.44,3.03,2.52,1.01,1.4,4.27,2.11,0.4,0.56,2.17,0.3,1.79,0.39,1.65,2.07,2.95,3.88,1.74,2.67,0.51,1,0.38,0.81,2.32,3.03,2.51,2.05,1.95,4.68,1.39,2.86
July,,,,,,,,,,1.21,1.95,4.47,3.07,2,0.37,0.97,4.32,2.13,3.09,5.37,4.24,1.93,1.38,2.11,2.99,1.15,1.24,1.03,1.22,0.38,4.82,1.21,0.85,3.57,2.69,1.93,2.14,3.32,2,1.81,3.39
August,,,,,,,,,,1.52,3.8,3.15,0.72,1.25,3.88,3.41,0.15,1.13,2.94,2.75,0.01,4.21,4.53,1.55,2.57,2.11,4.04,0.52,3.25,1.35,3.68,4.81,3.26,1.61,3,0.47,3.89,3.23,3.16,2.1,4.98
September,,,,,,,,,,0.59,3.78,1.43,3.9,1.71,2.31,3.32,2.74,2.8,2.58,1.76,1.6,1.01,3.3,2.22,1.84,3.26,5.58,1.51,2.88,3.83,4.1,3.97,4.28,3.51,2.88,1.26,4.66,3.02,4.02,0.17,7.25
October,,,,,,,,,,4.16,2.22,0.86,5.72,1.77,1.71,6.61,1.61,5.66,3.56,6.37,5.29,0.8,4.67,4.99,4.5,4.92,1.28,0.85,2.21,7.73,1.09,1.2,4.66,4.3,3.3,3.92,2.14,2.7,3.85,2.73,11.07
November,,,,,,,,,,9.52,6.5,5.4,2.62,0.78,2.55,8.43,3.63,1.73,6.1,7.36,9.06,2.29,1.85,2.25,7.17,0.77,5.76,1.67,1.7,4.75,6.38,9.61,3.97,1.78,6.43,3.41,0.85,2.43,2.55,3.92,6.43
December,,,,,,,,,,7.51,4.8,1.17,1.73,1.16,10.36,5.95,3.71,4.63,4.38,2.1,3.2,2.53,5.32,3.3,3.04,5,4.59,3.32,5.37,1.66,2.52,2.65,2.47,0.78,3.59,6.02,5.86,2.79,3.92,7.67,3.38
Total,,,,,,,,,,31.62,34.91,31.3,31.1,24.04,31.93,43.2,34.07,40.98,29.65,41.68,37.72,31.6,35.16,31.76,29.77,28.97,41.8,29.19,32.46,27.51,36.69,42.47,30.67,26.05,36.73,31.92,30.96,31.94,37.08,32.57,52.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Gauge lowered 6inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr Inspected Site satisfactory but becoming overshadowed by trees. New site requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
