DANBY (BOTTON HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ696040,Long,-0.928727,Lat,54.426676,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3468/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.22,6.36,2.45,4.57,6.25,7.49,2.03,5.76,2.69,4,8.38,1.02,1.65,2.73,3.09,1.6,3.03,,,,,,
February,,,,,,,,2.1,2.83,2.95,7.63,2.79,1.29,2.62,2.79,1.54,5.23,1.8,1.01,5,4.65,1.28,2.28,3.52,,,,,,
March,,,,,,,,0.22,4.31,2.22,3.98,2.34,0.54,1.03,0.62,2.26,6.88,1.68,3.29,1.57,4.61,3.31,0.48,3.29,,,,,,
April,,,,,,,,0.41,1.57,2.51,2.52,2.19,1.06,2.32,2.22,2.92,3.75,1.51,2.54,2.58,2.31,2.07,3.96,0.3,,,,,,
May,,,,,,,,4.17,3.23,0.97,2.21,3.62,3.19,1.66,3.65,3.08,2.01,2.33,1.63,2.8,5.13,1.76,3.15,4.13,,,,,,
June,,,,,,,,3.07,4.28,1.42,0.72,2.2,1.71,2.91,2.65,4.02,3.08,7.95,0.83,1.53,2.04,1.78,4.4,2.34,,,,,,
July,,,,,,,,3.51,3.13,6.24,1.97,5.2,1.44,4.07,2.41,5.17,2.58,1.97,2.34,3.51,2.04,2.23,3.77,,,,,,,
August,,,,,,,,4.48,3.95,1.99,3.97,3.02,3.45,4.69,5.09,5.47,0.21,5.12,3.91,5.61,7.39,3.37,2.94,,,,,,,
September,,,,,,,,3.5,3.12,2.41,0.7,3.4,5.68,7.01,2.14,5.08,2.22,1.99,0.66,4.19,1.95,6.71,2.51,,,,,,,
October,,,,,,,,5.01,8.2,5.77,5.28,2.53,1.66,5.88,3.87,1.64,0.82,1.46,3.57,2.04,1.94,5.67,3.66,,,,,,,
November,,,,,,,,4.22,3.29,5.58,3.7,1.55,4.4,5.88,2.21,7,2.87,1.03,6.58,7.85,7.83,4.9,2.91,,,,,,,
December,,,,,,,,6.87,2.15,4.16,1.02,3.6,2.49,3.05,3.17,4.84,2.99,4.83,3.73,4.62,4.93,3.57,1.7,,,,,,,
Total,,,,,,,,41.78,46.42,38.67,38.27,38.69,34.4,43.15,36.58,45.71,36.64,40.05,31.11,42.95,47.55,39.74,33.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan 6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
