"BRIGHTON W.W. (RACE HILL RES.)",,,,,,,,,,,,
Grid ref,TQ335057,Long,-0.105519,Lat,50.835443,,,,,,,
Station no,486,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.96,2.80,1.56,1.75,4.66,6.23,2.68,5.20,3.88,3.38,,
February,6.62,1.09,1.31,3.47,2.24,0.22,5.45,3.30,0.06,3.05,,
March,3.94,3.70,0.36,4.27,1.07,0.44,1.89,2.43,1.83,2.51,,
April,2.54,1.76,2.53,0.64,0.57,1.68,0.26,1.08,2.50,1.34,,
May,2.60,2.41,1.77,1.66,4.15,0.50,1.39,2.95,0.62,1.65,,
June,2.00,1.20,1.36,3.38,1.88,2.31,1.59,4.04,1.97,1.87,,
July,2.50,1.14,4.13,5.57,0.51,2.86,4.80,3.33,1.40,4.11,,
August,5.48,2.82,2.22,3.67,1.51,3.55,2.69,5.93,1.23,7.76,,
September,3.23,4.09,4.97,4.11,3.50,3.47,4.65,4.93,0.18,4.49,,
October,1.63,4.04,3.76,3.58,3.32,1.73,1.90,4.01,3.31,9.24,,
November,5.72,5.13,2.63,6.18,1.43,0.76,3.24,2.90,4.49,8.42,,
December,3.11,4.29,0.97,3.15,4.30,6.06,2.67,5.42,8.02,4.66,,
Total,43.33,34.47,27.57,41.43,29.14,29.81,33.21,45.52,29.49,52.48,,
Calc annual,43.33,34.47,27.57,41.43,29.14,29.81,33.21,45.52,29.49,52.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
