WOOLER THIRLINGS - GLENDALE,,,,,,,,,,
Grid ref,NT958324,Long,-2.0681881,Lat,55.585225,Elevation,146,ft,,
Station no,RR8706,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.55,2,3.5,3.15,1.78,2.4,1.68,3.7,2.33,
February,3,1.24,1.98,0.95,2.05,4,3.42,0.75,1.3,
March,0.58,2.9,2.16,3.37,3.17,2.42,5.1,1.27,0.62,
April,2.18,1.55,0.12,2,0.47,0.5,1.85,3.32,1.05,
May,1.6,0.67,1.93,3.5,1.54,1.3,3.4,1.77,3.3,
June,0.45,4.7,4.6,1.55,2.28,1.16,3.05,1,0.45,
July,2.44,0.63,1.48,0.62,1.96,3.57,4.9,0.97,4.13,
August,4.09,1.53,4.82,1.67,1.68,3.02,3.45,5.36,1.68,
September,0.61,1.55,2.75,1.43,0.38,1.9,2.95,1.37,5.7,
October,2.8,4.26,3.6,1.52,2.62,2.1,2.85,3.52,3.58,
November,4.3,4.33,1.88,1.4,3.6,2.82,5.42,2.28,1.95,
December,3.35,4.91,1.7,1.76,5.25,5.2,3.4,2.02,1.8,
Total,27.95,30.27,30.52,22.92,26.78,30.39,41.47,27.33,27.89,
