HAWORTH LOWER LAITHE RESERVOIR - Snowdon Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE013368,Long,-1.9817,Lat,53.8274,Elevation,772,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,6.52,8.92,5.38,4.58,3.68,5.89,6.25,5.03,12.67,2.34,8.21,4.81,5.94,3.69,4.91,2.35,6.63,5.94,6.84,6.99,2.04,2.6,5.54,6.92,7.63,4.62,5.64,4.96,10.69,2.77,3.62
February,4.53,0.46,6.15,8.42,1.51,8.45,4.96,2.46,6.88,0.85,1.1,6,0.33,6.45,0.3,8.53,2.91,8.34,2.15,5.74,2.39,6.2,1.5,3.79,2.51,6.1,7.37,2.7,4.05,3.86,7.44
March,4.55,4.24,3.44,2.82,1.72,1.68,2.94,4.81,3.71,0.79,3.27,0.56,3.11,2.68,3.93,2.07,3.4,2.85,1.14,3.6,3.77,4.52,4.16,1.53,0.42,1.51,1.49,9.86,2.65,1.53,2.77
April,6.03,2.08,4.07,3.85,2.73,3.86,2.55,3.87,1.23,1.25,4.07,4.5,4.48,1.75,2.77,4.31,1.63,2.86,0.64,1.9,3.61,2.72,2.47,2.65,4.04,2.67,1.58,5.17,3.39,4.9,4.39
May,5.45,2.2,1.78,4.69,6.23,5.31,4.01,1.66,1.5,3.31,2.3,3.11,4.59,2.45,3.38,0.88,2.09,2.97,4.49,1.54,2.26,2.59,4.07,3.3,3.59,5.13,2.19,3.34,1.16,2.6,2.43
June,2.31,0.2,2.3,1.18,2.77,0.05,2.85,3.82,6.33,1.68,2.38,6.41,1.46,2.27,2.45,4.28,4.03,2.3,4.86,3.3,0.83,0.44,1.28,3.95,3.04,4.39,2.68,3.02,5.45,0.63,1.53
July,6.88,2.58,5.25,4.36,4.35,2.01,3.27,3.02,1.59,2.82,6.58,4.51,4.41,3.31,2.26,1.61,3.93,2.6,4.13,7.24,4.4,2.15,3.85,3.11,3.42,2.96,3.94,2.44,2,3.03,3.95
August,1.87,5.79,6.18,5.56,5.01,5.5,3.86,7.04,5.57,3.41,6.41,5.04,1.61,1.09,3.63,1.98,3.02,2.71,5.61,2.97,1.59,7.21,4.59,6.86,3.7,4.69,7.54,0.34,4.38,2.77,6.45
September,1.94,1.92,5.13,5.85,4.73,3.58,3.9,6.05,0.79,1.35,4.6,4.11,5.81,2.16,2.67,7.9,4.57,1.59,2.17,1.96,4.3,0.44,3.06,5.65,7.18,2.97,7.94,2.8,2.96,1.08,7.39
October,3.03,2.76,1.13,6.03,4.57,6.03,4.44,5.65,6.98,5.72,6.63,2.63,7.9,5.44,5.86,10.63,5.22,2.65,11.01,3.31,5.08,5.97,7.64,2.85,5.77,6.73,1.13,1.44,2.03,5.37,3.5
November,3.32,2.54,2.4,7.25,3.95,3.21,8.11,6.02,8.33,8.99,7.33,9.76,3.86,3.16,2.15,8.01,6.67,2.02,7.48,8.31,7.85,3.77,2.01,3.66,8.37,0.65,8.17,7.27,2.19,6.88,5.43
December,4.48,7.98,5.2,4.43,6.58,5.62,1.64,2.5,3.28,12.27,4.81,2.83,2.17,0.62,7.78,4.09,6.17,2.44,5.44,3.39,4.23,2.59,4.76,3.25,5.98,3.4,4.94,5.07,5.41,8.92,2.54
Total,50.91,41.67,48.41,59.02,47.83,51.19,48.78,51.93,58.86,44.78,57.69,54.27,45.67,35.07,42.09,56.64,50.27,39.27,55.96,50.25,42.35,41.2,44.93,47.52,55.65,45.82,54.61,48.41,46.36,44.34,51.44
