HOY (CANTICK HEAD),,,,,,,,,,,,
Grid ref,ND346893,Long,-3.133058,Lat,58.786286,,,,,,,
Station no,5819,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.14,3.58,4.37,2.93,2.28,3.41,4.21,4.06,4.48,3.65,,
February,3.80,3.47,2.58,2.81,1.61,2.16,2.22,3.05,1.64,3.57,,
March,3.84,4.20,1.45,2.61,1.28,3.28,4.09,1.70,1.25,1.17,,
April,3.19,0.70,2.16,1.84,2.17,0.63,1.49,0.74,1.47,2.89,,
May,0.25,2.30,3.10,2.33,2.07,2.35,1.02,3.19,2.67,0.79,,
June,1.04,2.71,1.26,3.15,1.63,2.65,0.79,1.08,1.79,2.31,,
July,2.85,1.39,2.20,1.10,0.54,3.03,2.18,2.43,2.44,1.42,,
August,2.94,4.85,3.37,2.43,0.34,2.33,3.83,2.42,2.07,1.97,,
September,1.09,4.01,3.90,4.43,3.62,1.87,3.18,1.26,1.10,1.95,,
October,2.27,4.20,2.22,6.69,4.96,3.84,3.74,4.10,4.89,3.09,,
November,6.23,3.58,4.51,6.51,1.41,4.26,1.71,1.04,3.86,2.77,,
December,6.34,3.84,2.24,5.04,6.84,5.24,3.10,3.83,4.30,3.62,,
Total,36.98,38.83,33.36,41.87,28.75,35.05,31.56,28.90,31.96,29.20,,
Calc annual,36.98,38.83,33.36,41.87,28.75,35.05,31.56,28.90,31.96,29.20,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
