HOY (CANTICK HEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND346893,Long,-3.133058,Lat,58.786286,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.46,1.4,2.9,5.4,5.5,1.8,5.5,4.7,3.6,4,2.4,2,1.04,3.9,3.7,8.8,8.1,4.4,4.8,5.1,1.3,1.3,0.4,5,4.2,6.7,2.5,6.4,3.78,2.7,5.9,4,2.9,4.4,3.7,4.2,1.7,2.9,0.7,3.5,5.32,5.32,5.58,4.81,3.31,1.4,2.45,2.42,1.81,3.24,3.19,4.58,3.72,2.94,2,4.02,2.79,4.2,4.03,1.66,3.02,3.65,3.56,3.13,6.07,3.45,3.11,3.47,3.42,6.44,1.12,2.75,4.65,3.6,2.3,3.76,3.89,5.47,4.13,4.04,0.84,1.64,2.1,2.84,2.3,3.5,3.46,2.53,3.78,3.45,6.95,5.06,3.14,3.58,4.37,2.93,2.28,3.41,4.21,4.06,4.48,3.65
February,,,,,,,,,,0.34,2.1,2.3,2.9,4.7,6.6,5.2,6.2,4.6,6.3,4,1.2,2.5,1.6,1.3,2.3,2.9,5,4.5,2.1,1.4,2.6,0.3,4.2,4.7,1.6,3.2,1.2,2.6,2.5,8.6,2.3,1.6,2.4,2.2,5,0,2,1.9,6,1,1.84,3.44,0.58,4.22,2.34,4.03,3.9,1.44,4.55,2.92,2.5,3.61,1.6,1.74,3.76,3.4,1.07,0.28,2.34,1.14,3.06,1.78,2.53,4.14,3.38,2.79,3.34,1.99,3.47,1.11,1.17,5.25,0.26,5.3,4.52,2.03,1.57,2.17,1.08,0.97,0.85,2.85,1.77,3.89,2.52,3.18,3.17,1.05,2.73,3.72,2.62,3.8,3.47,2.58,2.81,1.61,2.16,2.22,3.05,1.64,3.57
March,,,,,,,,,,0.3,2.9,6.5,2,3.1,7.9,7.7,2.8,1.2,4.4,1.6,1,1.02,1.9,2.9,5.2,1,5.5,1.9,3.7,2.7,2.5,0.8,4.8,1.9,3.9,3.3,1.1,1.7,3.4,5.6,5.3,2.1,1.6,1.3,1.6,1.9,3.1,3.2,3.6,1.12,1.05,1.82,3.28,2.07,1.35,2.33,0.74,2.08,3.62,1.29,2.08,2.68,3.17,3.2,3.7,1.99,1.95,2.55,1.73,2,2.67,2.63,1.9,0.79,1.28,2.9,4.4,2.68,1.85,0.8,2.89,1.01,3.06,3.48,2.49,1.79,1.15,1.18,3.28,1.98,2.23,1.27,0.74,1.06,2.42,2.26,2.31,1.87,2.37,3.81,2.88,3.84,4.2,1.45,2.61,1.28,3.28,4.09,1.7,1.25,1.17
April,,,,,,,,,,0.37,1.1,0.9,3.1,5.8,2.5,2.5,1.1,3.7,2.8,2.4,2.5,1.8,2.3,2.4,2.6,3.3,5.1,1.3,0.5,2.1,1.6,0.9,1.2,1.6,0.8,1.6,2.3,3,2.6,4.7,1.9,0.9,2.7,0.5,0,2.1,1.5,0.5,2.9,3.14,2.08,2.52,1.56,2.27,3.58,1.49,1.5,1,1.68,2.05,3.47,2.62,2.84,1.59,1.48,2.25,1.86,2.73,1.47,3.01,1.72,1.52,2.61,3.15,2.03,2.16,2.16,4.78,1.25,1.12,1.33,2.47,3.28,1.91,4.86,2.06,0.63,0.87,1.52,1.05,1.66,2.09,1.1,2.31,2,1.79,2.93,2.48,1.74,2.38,2.83,3.19,0.7,2.16,1.84,2.17,0.63,1.49,0.74,1.47,2.89
May,,,,,,,,,,0.1,1.9,2.9,4.1,4.2,3.4,2.2,1.8,1.1,2,0.8,1.5,0.6,0.7,2.1,1.1,1.9,1.3,3.1,1.9,1.5,1.1,1.6,1.3,4.1,3.1,1.6,1.4,1.6,2.7,0.7,1.6,3.6,3.2,0.9,1.6,0.4,1.7,1.2,2.2,2.83,1.74,0.77,1.83,0.85,0.73,1.03,1.7,0.76,2.68,2.05,2.13,1.85,2.97,1.88,2.21,0.8,1.88,1.21,1.8,0,2.75,1.51,1.96,3.69,1.64,2,1.26,1.59,1.33,1.41,1.76,3.52,1.43,0.82,1.67,0.62,2.45,0.59,2.48,0.64,0.99,0.49,1.04,1.29,2.56,2.8,0.74,1.03,1.88,1.91,1.13,0.25,2.3,3.1,2.33,2.07,2.35,1.02,3.19,2.67,0.79
June,,,,,,,,,,0.2,1.7,0.2,1.9,3.6,4.1,1.3,1.7,1.6,1.5,1.5,0.5,0.2,2.5,2.8,1.9,2,1.1,3.4,0.7,1,1.3,0.7,3.1,0.5,1,1.6,3,2.3,2.2,0.5,5.4,2.9,2.2,0.1,1.3,0.7,2.7,0.1,2,1.71,0.85,2.74,1.26,0.7,0.86,0.8,0.72,3.45,2.64,1.37,0.83,2.22,0.48,1.55,1.14,0.25,2.14,2.42,1.97,1.8,0.53,1.39,1.52,2.51,1.46,0.86,1.18,3.25,1.35,3.24,2.78,2.48,0.26,0.94,0.38,0.74,0.89,2.79,3.47,1.36,1.26,0.53,0.61,0.67,3.02,2.12,2.69,2.32,1.31,1.9,4.01,1.04,2.71,1.26,3.15,1.63,2.65,0.79,1.08,1.79,2.31
July,,,,,,,,,0.13,0.26,1.5,4.1,2.9,3.8,3.9,2.2,1.6,2.2,0.8,1.9,0.9,2.7,3,5.3,2.5,2.7,2.1,4.8,2.4,2.6,2.1,3.7,2.1,1.7,2.3,1.7,4.2,4.5,2.1,1.3,4.8,4.3,0.29,1.7,4.1,1.9,2.1,0.8,1.3,2.19,2.36,1.59,2.16,3.7,0.18,2.47,1.6,1.31,1.42,2.32,1.42,3.33,1.42,1.94,2.93,1.02,0.84,0.35,5.03,0.44,1.4,2.14,2.46,3.37,2.48,1.72,0.98,0.86,2.33,1.45,2.22,2.5,2.15,1.35,2.22,2.4,4.21,3.24,1.69,3.76,2.94,2.36,1.36,1.25,0.8,2.16,3.12,1.4,1.88,1.46,1.84,2.85,1.39,2.2,1.1,0.54,3.03,2.18,2.43,2.44,1.42
August,,,,,,,,,0.13,0.18,3.8,11.5,2.4,5,4.5,1.9,3,2.1,7.4,2.2,0.7,2.4,4.1,3.6,4.3,1.6,2.8,3.2,1.1,2.9,0.2,2.3,3.5,3.2,4.1,1.3,2.9,2.5,2.6,7.5,3.5,4.9,0.26,2.4,3,1.3,3,2.6,2.93,1.65,2.53,3.13,2.23,4.17,2.16,2.98,1.65,5.48,2.12,2.27,3.51,1.8,4.01,1.38,1.34,1.29,1.08,2.18,3.16,4.1,0.73,1.56,2.1,4.13,2.93,1.82,2.56,1.49,1.43,7.15,5.75,0.44,2.66,2.61,2.9,3.48,3.07,2.87,2.22,2.18,4.35,4.78,1.93,2.34,1.3,2.63,2.56,0,3.18,2.97,3.8,2.94,4.85,3.37,2.43,0.34,2.33,3.83,2.42,2.07,1.97
September,,,,,,,,,0.11,0.23,3.1,2.3,2.8,9.2,6.3,3.6,3,4.8,1.9,5.9,2.5,2,5.5,5.5,4.9,2.2,2.5,2,4.4,2.1,3.5,0.7,4,3.4,1.5,3.8,2.2,4.5,1.7,3,4.4,2.8,2.7,5.1,0.2,1.8,3.8,4.3,3.42,5.04,2.95,1.51,2.61,1.78,1.64,2.23,1.53,1.33,3.1,2.14,1.33,3.21,1.65,1.46,1.64,2.23,2.9,4.43,4.51,2.35,2.61,2.77,1.92,4.58,5.1,2.51,4.56,2.64,2.36,4.17,4.26,0.97,3.79,0.58,2.91,4.8,2.37,2.35,2.67,1.43,2.49,2.33,3.68,3.86,2.79,2.47,4.83,5.28,3.37,2.55,6.97,1.09,4.01,3.9,4.43,3.62,1.87,3.18,1.26,1.1,1.95
October,,,,,,,,,0.58,0.85,7.3,5.4,7.6,5.9,13.9,4.8,3.1,6.5,4.9,2.5,1.4,1.9,5.2,10.8,3.8,5.1,4.4,4,4,2.9,4.2,2.6,3,6.6,6,6,1.8,2.8,6.6,4.2,5.5,2.9,2.6,5.1,2.3,4.4,4.6,3,1.71,3.82,4.91,3.62,2.58,3.92,3.58,4.77,3.16,2.66,1.55,4.68,1.55,1.4,2.43,1.85,2.94,1,5.01,7.61,2.15,1.81,0.65,3.39,1.88,6.56,3.22,5.2,5.06,6.02,2.99,4.26,5.44,3.8,3.99,2.79,6.01,7.13,4.2,3,4.51,1.22,2.33,3.3,3.63,2.91,3.31,3.28,0.61,2.57,5.48,2.18,3.26,2.27,4.2,2.22,6.69,4.96,3.84,3.74,4.1,4.89,3.09
