BUCKNELL-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO355735,Long,-2.9484736,Lat,52.35575,Elevation,480,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2266/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.47,2.14,3.4,0.92,4.36,4.47,4.03,5.35,3.54,3.52,3.69,6.46,2.56,1.77,3.4,3.17,6.43,1.55,0.74,3.51,3.64,0.77,1.92,2.89,3.61,1.93,2.65,4.03,5.93
February,,0.21,3.86,0.25,2.94,2.54,4.89,0.6,2.24,2.93,3.08,0.65,2.22,1.16,2.03,3.07,1.42,1.94,1.35,5.74,3.58,0.87,1.95,2.88,1.99,0.51,3.37,5.77,0.24,3.36
March,,2.28,2.6,2.49,0.55,2.86,3,0.19,2.13,2.05,2.79,2.46,0.95,0.25,0.93,0.91,6.62,1.7,1.54,1.66,4.52,1.94,1.73,2.53,3.39,1.47,2.1,1.92,2.63,2.05
April,,4.67,1,2.76,4.56,2.56,1.78,0.13,2.52,2.69,1.28,2.5,1.06,1.13,1.52,1.88,2.42,1.85,2.45,2.48,2.18,1.73,2.88,0.34,1.25,1.39,0.1,0.43,4.11,2.08
May,,5.23,1.78,1.54,0.93,1.11,1.5,2.22,1.01,1.74,2.69,4.35,3.07,1.14,2.82,2.7,2.77,3.29,2.86,1.06,2.93,3.06,1.88,2.99,4.78,0.58,1.89,3.11,1.75,1.67
June,,1.22,2.34,1.77,2.43,3.91,0.6,2.22,1.95,1.33,2.15,0.27,1.98,1.11,3.79,2.33,1.79,2.85,0.99,1.75,0.48,1.9,1.63,4.66,4.87,1.97,1.26,3.01,2.73,1.57
July,,3.33,2.48,1.25,0.33,4.05,2.45,4.01,5.86,3.11,2.7,1.83,1.69,1.65,2.62,1.93,2.87,0.94,1.2,3.17,2.13,0.75,2.68,1.79,0.99,4.32,2.31,4.52,2.17,2.74
August,5.6,1.71,0.72,2.68,1.56,0.3,0.9,2.78,1.81,0.16,4.29,2.29,1.98,3.07,5.01,5.96,0.55,2.92,1.04,4.1,3.5,4.57,2.39,5.83,0.75,4.52,8.06,2.43,1.02,4.51
September,1.84,2.58,0.91,2.42,4.69,2.96,1.89,1.09,1.08,1,1.16,1.99,2.83,2.41,2.32,4.46,1.56,2.83,2.55,3.89,2.62,2.3,3.2,2.53,1.11,4.05,6.48,7.44,0.01,3.55
October,0.67,5.91,5.04,2,3.98,1.43,3.89,3.91,2.84,3.97,2.25,1.86,3.74,4.63,4.21,1.28,0.42,2.81,4.74,1.54,0.91,4.74,2.48,3.85,2.09,2.12,1.59,3.25,3.22,8.05
November,6.48,2.15,0.83,2.07,6.28,4.3,1.82,5.35,5.58,8.32,3.23,0.84,2.56,4.84,0.36,6.65,2.08,1.6,3.94,5,8.59,2.67,2.48,7.53,3.48,1.01,3.2,2.38,4.66,6.9
December,1.15,1.8,0.71,7.21,4.07,3.24,2.78,3.92,2.03,2.35,1.9,4.06,1.85,2.97,4.4,3.42,2.97,6.34,2.68,1.89,2.4,2.82,1.56,2.79,3.53,3.33,2.46,2.93,6.53,5.14
Total,,34.56,24.41,29.84,33.24,33.62,29.97,30.45,34.4,33.19,31.04,26.79,30.39,26.92,31.78,37.99,28.64,35.5,26.89,33.02,37.35,30.99,25.63,39.64,31.12,28.88,34.75,39.84,33.1,47.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Bucknell vicarage. Altitudes nearly match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
