SCALBY - LOW HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TA007902,Long,-0.454,Lat,54.298,Elevation,131,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,,4.51,1.55,2.03,1.06,4.45,2.09,3.86,4.51,2.33,4.94,1.19,4.26,2.27,3.44,4.17,3.24,4.15,2.24,2.40
February,,2.04,1.85,2.19,1.70,3.24,1.58,1.61,0.82,1.70,3.77,3.53,1.45,2.10,1.69,1.35,0.36,2.73,4.49,2.10
March,,2.16,0.97,3.45,6.66,0.84,3.06,3.48,2.15,3.02,1.93,4.14,2.63,1.12,4.94,2.65,1.07,3.31,1.70,1.53
April,,1.06,2.02,2.56,2.99,2.19,0.96,0.35,2.24,0.89,1.28,1.39,3.08,2.06,2.13,4.34,1.63,1.83,1.64,1.79
May,,2.72,3.54,1.53,1.90,2.43,0.94,3.60,2.74,2.03,1.77,3.42,1.71,2.51,1.33,2.65,2.44,0.92,4.15,4.36
June,,0.58,3.00,1.52,3.17,1.89,4.49,4.07,1.38,1.99,0.41,2.26,1.84,0.59,1.19,0.73,0.31,1.97,0.82,1.51
July,,1.08,1.03,1.50,3.03,2.96,1.58,4.89,0.87,5.08,7.64,1.96,1.55,3.99,2.94,7.55,1.63,4.64,3.21,
August,3.20,2.69,1.57,2.53,5.32,4.75,3.76,4.24,1.08,2.74,3.00,3.81,8.17,2.82,2.83,2.99,4.70,3.83,3.54,
September,2.10,1.07,0.53,2.10,2.38,0.91,3.44,2.71,0.96,1.74,3.05,1.51,0.64,6.41,1.46,1.68,1.11,3.15,2.17,
October,4.48,4.85,4.02,1.42,3.42,3.76,3.11,4.10,3.48,2.22,1.69,3.67,3.70,1.48,6.36,2.49,2.60,1.88,1.86,
November,5.27,3.68,2.62,1.79,1.95,4.55,5.12,3.07,2.08,3.92,3.34,3.37,2.41,1.35,4.07,0.75,3.44,1.86,4.27,
December,0.66,3.21,3.85,2.84,5.29,3.08,4.10,1.58,1.67,4.82,6.43,4.47,1.89,5.25,3.49,3.96,2.31,3.29,3.23,
Total,,29.65,26.55,25.46,38.87,35.05,34.23,37.56,23.98,32.48,39.25,34.72,33.33,31.95,35.87,35.31,24.84,33.56,33.32,
,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/065,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/040,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/016,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"# The gauge was at Silverdale until August 1905, at which point Low Hall became the Rowntree family home.",,,,,,,,,,,,,,,,,,,,
