SCALBY - THE GLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA004903,Long,-0.459,Lat,54.298,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
January,2.49,2.09,4.40,2.29,3.36,2.89,1.18,1.73,1.58,2.97,4.54,4.36,2.98,4.27,1.59,3.15,4.24,3.39,1.69,5.34,1.69,2.21,5.34,0.92,1.40,1.98,2.69,1.24,1.78,1.70,4.16,1.53
February,2.42,1.26,1.80,1.13,1.18,2.48,0.91,3.86,2.35,3.68,2.75,3.62,1.45,1.48,1.61,4.69,1.29,0.46,2.36,1.90,1.78,1.89,1.27,0.76,3.22,2.57,1.10,2.19,1.94,2.25,3.01,2.39
March,0.78,1.47,2.82,0.14,2.59,1.12,2.43,2.17,2.66,0.80,1.12,4.38,0.22,2.31,2.11,3.09,0.59,0.77,0.79,0.51,1.09,3.65,1.05,1.19,0.97,3.19,2.04,0.23,2.49,2.29,1.07,1.23
April,1.26,2.39,1.62,1.46,3.18,3.69,2.16,1.10,3.01,3.14,1.42,4.34,0.46,2.21,2.18,1.36,1.08,1.11,2.29,2.96,2.44,2.26,1.25,1.97,3.26,1.82,1.24,2.84,0.35,1.22,0.80,0.93
May,1.17,1.06,1.22,1.49,1.04,2.44,7.39,1.70,1.49,1.46,2.08,3.99,3.89,2.06,0.63,1.29,3.09,2.43,1.12,2.05,1.64,1.20,1.42,1.54,2.12,4.74,1.38,1.97,1.95,3.71,0.83,1.23
June,3.42,4.07,4.88,1.52,1.49,4.36,0.65,1.68,1.35,2.13,2.14,1.22,2.33,3.87,0.55,0.58,1.29,1.76,2.83,2.72,2.76,1.52,3.77,1.31,1.65,0.91,1.35,3.29,1.44,2.17,2.97,1.33
July,3.45,2.18,1.13,1.91,6.12,3.31,2.73,1.39,1.85,0.42,3.01,2.39,2.30,2.51,6.82,2.15,3.33,1.13,1.52,2.19,3.24,1.48,2.07,1.50,3.04,2.45,2.34,1.81,1.83,0.66,3.91,3.64
August,2.83,6.16,3.62,2.19,2.92,2.61,1.95,0.49,2.42,1.09,2.34,1.14,3.26,2.65,1.17,2.34,2.39,3.43,3.44,3.29,3.27,0.83,2.87,1.90,4.25,6.49,1.98,3.15,5.07,0.92,6.15,2.44
September,1.53,3.73,0.96,0.30,4.66,5.13,2.81,1.55,1.56,4.33,2.20,1.51,1.72,1.70,2.14,0.65,1.97,3.73,4.97,1.67,4.33,1.56,1.39,0.63,2.46,0.94,4.95,1.03,1.86,1.37,1.53,2.86
October,3.76,2.31,3.29,2.06,1.88,2.37,3.58,4.77,1.88,4.46,2.35,3.20,3.94,3.75,3.58,3.25,1.99,1.47,2.83,2.33,1.45,0.66,1.42,2.77,1.17,0.70,2.78,1.62,3.80,2.54,1.85,3.33
November,3.24,5.85,2.56,2.76,4.96,2.37,1.61,2.79,3.53,4.90,2.76,3.23,3.12,2.99,3.54,2.95,1.11,4.30,4.30,1.16,4.82,2.26,0.67,3.39,4.61,4.39,4.94,2.06,5.16,1.77,2.05,2.33
December,1.31,2.32,1.35,4.44,2.33,1.14,1.51,0.95,4.77,2.65,2.32,5.53,3.30,3.23,3.25,0.69,1.89,1.43,2.42,1.44,2.99,1.61,1.70,2.63,4.54,2.02,3.60,1.34,1.83,3.94,2.17,2.16
Total,27.66,34.89,29.65,21.69,35.71,33.91,28.91,24.18,28.45,32.03,29.03,38.91,28.97,33.03,29.17,26.19,24.26,25.41,30.56,27.56,31.50,21.13,24.22,20.51,32.69,32.20,30.39,22.77,29.50,24.54,30.50,25.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
