SCALBY - SILVERDALE,,,,,,,,
Grid ref,TA015906,Long,-0.442,Lat,54.301,Elevation,150,ft
Station no,,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,,
January,,1.81,1.29,2.04,2.54,0.80,,
February,5.51,3.19,1.78,1.73,3.01,1.46,,
March,1.37,2.97,1.64,2.12,1.89,2.38,,
April,1.39,2.15,1.01,2.78,1.27,2.96,,
May,1.18,0.99,2.62,3.22,3.27,1.42,,
June,2.21,1.90,2.75,1.75,1.00,0.64,,
July,1.23,2.37,2.17,3.73,1.66,1.30,,
August,6.25,3.20,3.42,2.39,3.44,,,
September,0.66,0.60,0.96,3.27,1.32,,,
October,4.05,1.69,2.88,7.61,0.79,,,
November,2.88,3.96,1.14,2.95,2.87,,,
December,3.52,4.50,3.10,1.50,2.68,,,
Total,,29.33,24.76,35.09,25.74,,,
,,,,,,,,
TYRain_1900-1909_22_pt1/065,,,,,,,,
,,,,,,,,
# The January 1900 figure is an estimate for the month before the gauge begins operating and has been omitted.,,,,,,,,
#,,,,,,,,
# Silverdale is now 18 and 18A Station Road.,,,,,,,,
#,,,,,,,,
# The gauge moved to Low Hall at the start of August 1905.,,,,,,,,
