FAIRLEY KNOWE,,,,,,,,,,
Grid ref,NT154566,Long,-3.3509194,Lat,55.795261,Elevation,1135,ft,,
Station no,RR4624,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,3.55,1.85,,,,
February,,,,,2.1,3,,,,
March,,,,,5.15,1.85,,,,
April,,,,,1.45,1.9,,,,
May,,,,,0.55,3.4,,,,
June,,,,,3.15,5.4,,,,
July,,,,,3.95,4,,,,
August,,,,,3.25,6,,,,
September,,,,,4.25,5.58,,,,
October,,,,,2.35,6.25,,,,
November,,,,,6.2,3.52,,,,
December,,,,,0.65,4.65,,,,
Total,,,,,36.6,47.4,,,,
,,,,,,,,,,
No locational information on record but there's a Fairliehope Farm near Carlops and NGR for that used.,,,,,,,,,,
