"FORT WILLIAM (NOT CLEAR)",,,,,,,,,,,,
Grid ref,NN148746,Long,-5.036607,Lat,56.825877,,,,,,,
Station no,5728,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,5.27,6.23,6.97,6.19,8.00,17.16,9.28,4.23,8.05,,
February,3.90,3.53,7.03,5.42,6.69,4.75,9.50,4.53,5.83,7.95,,
March,4.08,5.28,3.18,3.23,1.25,4.01,9.26,2.95,7.45,1.70,,
April,7.02,4.83,6.58,2.62,5.00,4.53,3.06,5.47,7.45,8.40,,
May,0.67,3.77,5.43,2.76,4.57,8.25,2.03,7.82,1.60,4.00,,
June,4.88,5.18,1.20,3.54,5.00,4.10,3.75,2.82,7.13,4.95,,
July,5.36,5.11,8.24,2.86,1.45,8.25,6.21,3.85,8.95,4.30,,
August,7.30,4.78,7.51,3.49,2.70,5.45,8.37,6.25,7.30,7.93,,
September,7.22,6.01,9.84,2.49,10.25,8.65,5.48,6.15,3.05,5.02,,
October,4.46,9.40,6.58,9.40,10.00,10.00,13.75,11.70,10.35,2.54,,
November,11.31,4.52,12.14,13.13,4.02,7.00,3.45,2.75,12.00,9.75,,
December,12.32,8.69,8.90,13.13,13.50,16.76,13.98,7.30,14.80,13.05,,
Total,76.02,66.37,82.86,69.04,70.62,89.75,96.00,70.87,90.14,77.64,,
Calc annual,76.02,66.37,82.86,69.04,70.62,89.75,96.00,70.87,90.14,77.64,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
