"COLINTON (FIRHILL TANK)",,,,,,,,,,,,
Grid ref,NT226699,Long,-3.239912,Lat,55.915940,,,,,,,
Station no,5136,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,2.38,0.41,2.38,1.97,1.55,3.20,1.54,1.02,2.78,,
February,2.60,0.49,0.81,1.90,1.68,1.96,3.15,2.22,0.48,2.37,,
March,3.39,1.23,0.38,1.69,1.87,1.22,1.58,2.59,0.63,1.14,,
April,2.52,1.52,2.81,1.54,0.43,0.72,0.70,2.07,2.01,0.88,,
May,3.87,1.96,1.98,4.62,2.37,0.69,2.05,2.35,0.71,1.55,,
June,1.91,2.46,1.66,2.24,0.87,2.23,1.30,3.91,1.69,0.97,,
July,3.92,1.96,3.85,1.77,1.76,5.91,5.10,6.91,2.54,2.66,,
August,5.66,4.51,1.97,5.41,1.08,6.26,3.22,3.33,0.29,4.72,,
September,0.90,2.14,3.37,3.03,1.12,4.36,1.74,3.31,0.53,1.51,,
October,0.63,1.92,1.54,7.07,1.63,1.66,1.92,1.12,1.99,3.69,,
November,5.27,2.63,3.52,3.26,1.00,0.81,2.28,1.13,5.08,2.92,,
December,2.80,2.56,3.50,3.04,4.40,2.61,2.56,4.92,3.25,2.61,,
Total,36.53,25.76,25.80,37.95,20.18,29.98,28.80,35.40,20.22,27.80,,
Calc annual,36.53,25.76,25.80,37.95,20.18,29.98,28.80,35.40,20.22,27.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
