OAKLEY-MALSHANGER,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU567525,Long,-1.18858,Lat,51.26917,Elevation,440,ft,,,,,,,,,,,,,
Station no,RR6839,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.22,4.31,3.9,0.68,4.23,1.48,1.46,,3.93,3.77,3.13,3.9,2.13,3.17,3.07,,,,,
February,,1.89,2.89,1.23,4.63,5.96,5.27,1.08,,2.82,0.78,0.28,2.84,4.99,0.51,4.54,,,,,
March,,2.2,4.97,3.4,5.03,1.01,4.19,2.03,,5.24,2.08,1.81,2.74,2.55,1.09,0.58,,,,,
April,,1.32,0.03,4.01,1.11,1.21,0.9,2.04,,2.17,3.7,0.71,3.57,2.99,3.66,2.9,,,,,
May,,2.83,1.43,2.3,1.4,5.07,1.66,2.11,,1.51,1.39,1.78,0.98,2.06,2.96,3.5,,,,,
June,,2.09,4.16,1.33,0.7,0.91,1.82,2.27,,0.43,1.45,0.33,1.32,0.37,2.93,0,,,,,
July,,0.01,1.64,1.64,2.9,6.37,1.5,3.74,,1.51,6.45,0.22,4.78,1.56,5.36,3.3,,,,,
August,,2.14,7.42,1.16,2.2,3.07,5.38,3.92,,2.91,1.82,2.13,3.33,2.98,3.1,3.81,,,,,
September,,1.55,2.5,3.22,1.03,4.08,2.02,2.48,,3.14,1.28,1.18,2.4,2.16,4.49,3.34,,,,,
October,,3.18,3.64,3.94,2.83,2.78,4.78,4.07,,1.08,2.11,0.93,0.72,6.16,4.65,3.98,,,,,
November,,4.34,2.08,2.92,3.64,2.37,4.11,0.5,,1.6,2.39,1.89,1.46,2.09,2.98,2.49,,,,,
December,,8.29,5.01,1.77,8.95,7.4,3.08,1.33,,6.05,3.1,2.07,3.93,3.34,5.22,4.26,,,,,
Total,,31.06,40.08,30.82,35.1,44.46,36.19,27.03,,32.39,30.32,16.46,31.97,33.38,40.12,35.77,,,,,
,,,,,,,,,,,,,,,,,,,,,
House within large park Assumed in kitchen garden,,,,,,,,,,,,,,,,,,,,,
Given elevation on sheet of 400ft a little low,,,,,,,,,,,,,,,,,,,,,
1921 Gauge moved 4yds W,,,,,,,,,,,,,,,,,,,,,
