DOWNHAM HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD782443,Long,-2.333,Lat,53.8949,Elevation,474,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.82,2.69,3.83,2.95,3.7,5.13,0.84,3.46,5.86,2.86,3.9,5.78,4.75,4.12,,3.93,1.34,5.56,5.54,4.95,4.15,2.6,6.3,5.08,2.42,0.71,0.47,4.41,5.18,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.38,4.61,2.2,0.72,2.9,3.15,4.11,1.23,2.45,4.37,2.93,5.26,4.72,3.81,,1.34,4.35,4.72,1.2,1.62,0.98,6.68,4.36,1.47,2.2,3.41,6.05,3.44,2.45,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,3.26,0.41,4.2,2.15,5.43,3.6,5.97,3.85,1.24,3.3,1.3,2.18,1.73,4.59,,2.26,1.72,4.46,3.46,5.72,1.16,5.13,3.65,2.67,2.77,3.19,4.5,5.04,1.05,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.7,3.19,0.36,2.75,3.48,2,1.27,3.68,2.45,1.95,1.85,1.38,5.96,1.98,,1.94,2.93,3.43,0.42,1.75,1.5,2.57,3.17,1.52,1.67,1.47,2.15,3.13,2.02,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.06,3.43,2.29,1.61,0.6,3.95,1.12,5,3.51,2.35,3.72,1.47,1.98,1.18,,1.8,1.66,3.02,2.52,2.17,2.63,0.53,2.45,3.64,1.95,2.78,4.33,3.84,1.02,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,4.34,4.62,4.57,2.58,2.45,6.14,2.25,4.1,4.28,4.69,0.75,4.61,1.82,0.54,,3.05,3.14,4.24,1.66,1.39,2.81,4.08,2.13,2.45,4.57,4.52,2.43,5.95,4.12,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.13,2.77,3.54,3.15,1.91,2.1,4.23,4.6,1.5,1.96,3.92,4.99,4.23,0.72,,1.05,7.27,3.32,4.36,3.92,5.45,3.35,5.02,1.3,6.6,4.88,6.08,6.52,3.5,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.93,5.82,5,,4.05,5.29,4.91,3.68,4.2,2.46,4.6,5.93,3.2,4.18,,2,2.14,4.58,4.77,6.58,5.07,4.26,6.86,6.17,6.75,2.37,5.76,3.93,2.93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.97,3.73,2.87,8.8,8.01,2.78,4.25,2.22,7.2,3.8,1.15,7.72,3.5,2.78,,2.94,3.69,7.71,2.5,5.05,4.51,4.8,4.35,4.47,3.15,3.96,2.44,2.82,6.75,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.89,1.5,1.68,3.17,2.96,5.32,2.4,6.73,5.62,2.56,5.98,2.75,4.27,6.39,,9.4,5.74,5.48,7.37,4.93,4.02,2.84,5.6,3.94,2.48,3.02,3.52,4.59,4.93,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
