CLITHEROE DOWNHAM HALL NO 3,,,,,,,,,,,,,,,,,,,,
Grid ref,SD777442,Long,-2.3396,Lat,53.8942,Elevation,447,ft,,,,,,,,,,,,
Station no,2992,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,4.72,1.88,5.95,6.63,5.85,4.67,2.94,7.07,5.7,2.72,0.82,0.48,4.87,6.46,7.3,,,,,
February,1.62,5.11,5.61,1.27,1.81,1.35,6.84,5.16,1.53,2.47,3.94,6.54,3.47,2.99,3.16,,,,,
March,2.46,2.27,4.96,3.71,6.44,1.37,5.6,4.04,3.02,3.04,3.6,5.35,6.42,1.17,4.04,,,,,
April,2.12,3.17,2.83,0.46,2.05,1.77,2.82,3.35,1.52,1.7,1.58,2.27,3.22,2.17,1.19,,,,,
May,2.09,1.72,3.05,2.7,2.28,2.9,0.68,2.75,3.91,2.12,2.97,4.77,4.13,1.1,2.5,,,,,
June,3.1,3.17,4.55,2.25,1.47,3.05,4.27,2.38,2.5,4.87,4.83,2.58,6.12,4.34,0.67,,,,,
July,1.06,7.57,3.3,4.53,4.1,6.03,3.51,5.45,1.3,6.9,5.02,6.23,7,3.63,4.69,,,,,
August,2.02,2.29,4.89,5.2,7.01,5.29,4.46,7.22,6.32,7.23,2.45,6.56,4.23,3.38,2.14,,,,,
September,3.19,3.79,8.42,2.67,5.57,5.55,4.94,4.66,4.72,3.16,4.26,2.59,3.07,7.24,3.33,,,,,
October,9.79,5.97,6.08,7.91,5.37,4.33,2.99,6.54,4.51,3.2,4.05,3.62,4.89,5.48,3.16,,,,,
November,6.1,1.47,5.37,3.72,4.26,5.72,3.69,7.42,3.75,1.13,6.66,5.18,7.94,4.98,1.9,,,,,
December,3.35,3.03,4.35,2.09,5.5,2.54,6.12,5.53,2.49,3.7,9.28,6.77,3.96,4.84,7.18,,,,,
Total,41.62,41.44,59.36,43.14,51.71,44.57,48.86,61.57,41.27,42.24,49.46,52.94,59.32,47.78,41.26,,,,,
